"REF_DATE","GEO","DGUID","Inequality measures (5)","Year (2)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Saskatchewan","2021A000247","Gini index on adjusted household total income","2015","","0","units","0","","3155.3.2","0.370","","","","3"
"2021","Saskatchewan","2021A000247","Gini index on adjusted household after-tax income","2020","","0","units","0","","3155.4.1","0.293","","","","3"
"2021","Saskatchewan","2021A000247","Gini index on adjusted household after-tax income","2015","","0","units","0","","3155.4.2","0.331","","","","3"
"2021","Alberta","2021A000248","Gini index on adjusted household market income","2020","","0","units","0","","4125.2.1","0.450","","","","3"
"2021","Alberta","2021A000248","Gini index on adjusted household market income","2015","","0","units","0","","4125.2.2","0.459","","","","3"
"2021","Alberta","2021A000248","Gini index on adjusted household total income","2020","","0","units","0","","4125.3.1","0.350","","","","3"
"2021","Alberta","2021A000248","Gini index on adjusted household total income","2015","","0","units","0","","4125.3.2","0.412","","","","3"
"2021","Alberta","2021A000248","Gini index on adjusted household after-tax income","2020","","0","units","0","","4125.4.1","0.307","","","","3"
"2021","Alberta","2021A000248","Gini index on adjusted household after-tax income","2015","","0","units","0","","4125.4.2","0.371","","","","3"
"2021","British Columbia","2021A000259","Gini index on adjusted household market income","2020","","0","units","0","","4568.2.1","0.449","","","","3"
"2021","British Columbia","2021A000259","Gini index on adjusted household market income","2015","","0","units","0","","4568.2.2","0.446","","","","3"
"2021","British Columbia","2021A000259","Gini index on adjusted household total income","2020","","0","units","0","","4568.3.1","0.346","","","","3"
"2021","British Columbia","2021A000259","Gini index on adjusted household total income","2015","","0","units","0","","4568.3.2","0.380","","","","3"
"2021","British Columbia","2021A000259","Gini index on adjusted household after-tax income","2020","","0","units","0","","4568.4.1","0.306","","","","3"
"2021","British Columbia","2021A000259","Gini index on adjusted household after-tax income","2015","","0","units","0","","4568.4.2","0.343","","","","3"
"2021","Yukon","2021A000260","Gini index on adjusted household market income","2020","","0","units","0","","5349.2.1","0.382","","","","3"
"2021","Yukon","2021A000260","Gini index on adjusted household market income","2015","","0","units","0","","5349.2.2","0.383","","","","3"
"2021","Yukon","2021A000260","Gini index on adjusted household total income","2020","","0","units","0","","5349.3.1","0.303","","","","3"
"2021","Yukon","2021A000260","Gini index on adjusted household total income","2015","","0","units","0","","5349.3.2","0.329","","","","3"
"2021","Yukon","2021A000260","Gini index on adjusted household after-tax income","2020","","0","units","0","","5349.4.1","0.275","","","","3"
"2021","Yukon","2021A000260","Gini index on adjusted household after-tax income","2015","","0","units","0","","5349.4.2","0.302","","","","3"
"2021","Northwest Territories","2021A000261","Gini index on adjusted household market income","2020","","0","units","0","","5386.2.1","0.407","","","","3"
"2021","Northwest Territories","2021A000261","Gini index on adjusted household market income","2015","","0","units","0","","5386.2.2","0.411","","","","3"
"2021","Northwest Territories","2021A000261","Gini index on adjusted household total income","2020","","0","units","0","","5386.3.1","0.318","","","","3"
"2021","Northwest Territories","2021A000261","Gini index on adjusted household total income","2015","","0","units","0","","5386.3.2","0.363","","","","3"
"2021","Northwest Territories","2021A000261","Gini index on adjusted household after-tax income","2020","","0","units","0","","5386.4.1","0.287","","","","3"
"2021","Northwest Territories","2021A000261","Gini index on adjusted household after-tax income","2015","","0","units","0","","5386.4.2","0.332","","","","3"
"2021","Nunavut","2021A000262","Gini index on adjusted household market income","2020","","0","units","0","","5434.2.1","0.520","","","","3"
"2021","Nunavut","2021A000262","Gini index on adjusted household market income","2015","","0","units","0","","5434.2.2","0.511","","","","3"
"2021","Nunavut","2021A000262","Gini index on adjusted household total income","2020","","0","units","0","","5434.3.1","0.366","","","","3"
"2021","Nunavut","2021A000262","Gini index on adjusted household total income","2015","","0","units","0","","5434.3.2","0.413","","","","3"
"2021","Nunavut","2021A000262","Gini index on adjusted household after-tax income","2020","","0","units","0","","5434.4.1","0.331","","","","3"
"2021","Nunavut","2021A000262","Gini index on adjusted household after-tax income","2015","","0","units","0","","5434.4.2","0.379","","","","3"


