"Table 5: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLH51,Norwich and East Norfolk,"4,512","4,679","4,981","5,214","5,471","5,796","6,070","6,393","6,950","7,213","7,522","7,672","7,811","7,927","8,363","8,822","9,060","9,246","9,442","10,167","9,935","11,120","10,263","11,147","12,223","13,412"
ITL3,TLH52,North and West Norfolk,"2,897","2,996","3,157","3,260","3,426","3,597","3,639","3,827","3,987","4,111","4,298","4,237","4,325","4,471","4,637","4,763","4,929","4,991","5,159","5,269","5,326","5,490","5,251","5,557","5,961","6,366"
ITL3,TLH53,Breckland and South Norfolk,"2,759","2,926","3,137","3,295","3,464","3,652","3,781","3,971","4,243","4,363","4,486","4,428","4,575","4,748","4,906","5,077","5,296","5,398","5,593","5,774","5,814","6,199","6,129","6,619","7,213","7,934"
ITL2,TLH6,Suffolk,"10,265","10,766","11,360","11,820","12,347","12,946","13,485","14,285","15,231","15,621","15,957","15,520","15,895","16,402","16,998","17,719","18,395","18,945","19,765","20,529","20,896","22,001","20,695","21,850","23,771","25,680"
ITL3,TLH61,Babergh and Mid Suffolk,"2,267","2,377","2,526","2,627","2,756","2,856","2,925","3,019","3,173","3,278","3,385","3,289","3,439","3,543","3,642","3,726","3,898","3,995","4,110","4,283","4,407","4,655","4,473","4,803","5,211","5,676"
ITL3,TLH62,Ipswich,"2,210","2,323","2,398","2,495","2,569","2,732","2,945","3,243","3,553","3,583","3,550","3,433","3,390","3,442","3,584","3,816","4,059","4,222","4,506","4,580","4,640","4,820","4,686","4,676","5,090","5,928"
ITL3,TLH63,East Suffolk,"3,034","3,177","3,365","3,470","3,643","3,857","3,994","4,220","4,408","4,534","4,603","4,412","4,553","4,747","4,919","5,097","5,226","5,253","5,359","5,642","5,749","6,169","5,779","6,261","6,943","7,264"
ITL3,TLH64,West Suffolk,"2,754","2,888","3,071","3,228","3,379","3,501","3,621","3,804","4,097","4,225","4,420","4,386","4,513","4,670","4,853","5,079","5,212","5,475","5,790","6,024","6,100","6,358","5,756","6,110","6,527","6,812"
ITL1,TLI,London,"195,817","206,766","222,893","229,485","237,989","251,630","264,183","284,407","301,818","327,530","334,698","327,516","343,574","359,224","373,080","392,904","419,474","434,337","460,710","476,950","494,701","509,889","468,427","506,430","572,007","617,915"
ITL2,TLI3,Inner London - West,"73,753","77,590","85,429","87,591","90,988","96,592","102,216","112,408","119,748","132,165","134,842","135,283","142,204","147,480","153,182","163,344","175,499","181,349","197,347","205,963","215,940","224,275","212,651","235,623","263,218","286,809"
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,"8,138","8,752","9,395","9,879","10,237","10,709","11,264","11,884","12,182","13,413","14,318","13,642","14,070","14,994","16,704","18,176","19,649","20,337","20,567","21,271","22,804","23,076","20,785","21,853","24,488","26,979"
ITL3,TLI34,Wandsworth,"3,604","3,925","4,179","4,423","4,629","4,826","5,010","5,345","5,595","6,091","6,268","5,951","6,125","6,492","7,024","7,407","7,969","8,483","8,645","8,560","8,761","8,799","7,708","8,395","9,333","10,349"
ITL3,TLI35,Westminster and City of London,"51,379","53,581","59,514","60,349","62,751","66,783","70,613","78,667","84,923","93,963","94,870","96,484","102,270","105,253","107,987","114,568","122,250","122,930","134,976","141,580","148,719","156,476","154,175","171,481","190,224","207,887"
ITL3,TLI36,Camden,"10,631","11,332","12,341","12,940","13,371","14,274","15,330","16,512","17,047","18,699","19,385","19,207","19,740","20,742","21,467","23,193","25,630","29,599","33,158","34,552","35,655","35,924","29,983","33,894","39,173","41,594"
ITL2,TLI4,Inner London - East,"42,824","45,079","49,557","51,341","53,252","56,368","59,567","64,809","68,486","75,509","79,062","79,220","83,644","90,164","91,973","95,454","101,252","105,377","110,393","115,440","119,268","122,483","113,968","120,909","138,552","151,728"
ITL3,TLI41,Hackney and Newham,"5,897","6,230","6,686","7,008","7,305","7,725","8,011","8,534","8,854","9,522","9,967","9,704","10,278","11,006","11,552","11,968","12,868","13,507","14,134","15,108","16,291","17,965","17,225","18,936","21,644","24,009"
ITL3,TLI42,Tower Hamlets,"12,796","13,197","14,741","14,954","15,624","16,657","17,899","20,040","22,052","24,447","25,393","26,500","27,677","30,020","29,439","31,033","32,982","33,502","35,672","38,549","37,716","37,282","35,966","36,586","40,812","46,180"
ITL3,TLI43,Haringey and Islington,"9,796","10,345","11,341","11,728","12,166","12,818","13,468","14,353","14,942","16,462","17,279","17,006","17,851","18,852","19,507","20,844","22,434","23,523","23,939","24,356","25,597","26,148","23,834","25,913","31,085","32,815"
ITL3,TLI44,Lewisham and Southwark,"9,190","9,784","10,750","11,219","11,615","12,243","12,869","13,920","14,514","16,004","16,799","16,636","17,649","19,373","20,328","20,975","20,968","22,393","23,535","24,023","25,835","27,254","24,828","25,846","29,001","32,294"
ITL3,TLI45,Lambeth,"5,146","5,522","6,038","6,432","6,541","6,926","7,320","7,962","8,124","9,074","9,624","9,375","10,190","10,913","11,146","10,633","12,000","12,451","13,112","13,404","13,827","13,833","12,114","13,628","16,011","16,429"
ITL2,TLI5,Outer London - East and North East,"22,059","23,217","24,059","24,871","25,887","27,427","28,597","29,946","31,819","33,411","33,628","31,167","32,949","33,939","35,928","37,733","39,278","40,801","42,051","42,547","43,968","45,081","39,979","44,128","48,958","51,310"
ITL3,TLI51,Bexley and Greenwich,"6,419","6,796","7,061","7,317","7,643","8,084","8,393","8,866","9,370","9,801","10,041","9,443","9,927","10,267","10,794","11,568","11,944","12,389","13,003","13,180","13,438","13,960","12,263","13,167","14,447","15,063"
ITL3,TLI52,Barking & Dagenham and Havering,"6,003","6,185","6,320","6,455","6,598","6,926","7,208","7,472","7,998","8,404","8,401","7,784","8,332","8,512","9,070","9,564","9,970","10,094","10,249","10,366","10,709","10,945","9,779","11,155","12,689","13,271"
ITL3,TLI53,Redbridge and Waltham Forest,"5,393","5,726","5,966","6,187","6,504","6,909","7,247","7,602","8,059","8,440","8,420","7,755","8,094","8,402","9,039","9,310","9,706","10,253","10,533","10,740","10,991","11,054","9,732","10,861","12,291","13,159"
ITL3,TLI54,Enfield,"4,243","4,510","4,713","4,911","5,143","5,508","5,749","6,007","6,393","6,766","6,766","6,185","6,595","6,758","7,026","7,291","7,658","8,064","8,267","8,260","8,830","9,122","8,205","8,945","9,531","9,818"
ITL2,TLI6,Outer London - South,"19,822","21,027","21,949","22,626","23,424","24,771","25,816","27,082","28,477","30,166","30,176","28,257","28,883","29,550","30,628","31,515","33,469","33,945","35,565","36,250","37,430","38,272","34,626","36,295","40,677","43,658"
ITL3,TLI61,Bromley,"4,995","5,307","5,400","5,568","5,874","6,260","6,536","6,829","7,314","7,618","7,573","7,064","7,280","7,474","7,852","8,119","8,252","8,414","8,814","9,131","9,314","9,134","8,211","8,415","9,435","9,938"
ITL3,TLI62,Croydon,"5,677","5,989","6,319","6,528","6,721","7,136","7,438","7,834","8,139","8,731","8,674","8,241","8,284","8,384","8,569","8,764","9,595","9,685","9,934","10,215","10,973","11,589","10,755","11,426","12,825","13,664"
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton","9,151","9,732","10,230","10,529","10,828","11,376","11,842","12,419","13,024","13,818","13,929","12,953","13,319","13,692","14,206","14,632","15,622","15,846","16,817","16,904","17,143","17,548","15,660","16,453","18,417","20,056"
ITL2,TLI7,Outer London - West and North West,"37,359","39,853","41,899","43,056","44,439","46,471","47,987","50,162","53,288","56,278","56,989","53,589","55,895","58,091","61,370","64,858","69,975","72,865","75,354","76,749","78,095","79,779","67,202","69,474","80,602","84,410"
ITL3,TLI71,Barnet,"4,767","5,124","5,328","5,517","5,776","6,120","6,360","6,642","7,100","7,443","7,384","6,998","7,312","7,557","8,168","8,381","8,906","9,203","9,604","9,699","10,007","10,213","9,616","10,401","11,884","12,292"
ITL3,TLI72,Brent,"4,542","4,907","5,158","5,327","5,524","5,722","5,849","6,165","6,559","6,848","6,863","6,440","6,732","6,969","7,530","7,925","8,618","9,091","9,493","9,644","9,643","10,132","9,222","9,689","10,945","11,600"
ITL3,TLI73,Ealing,"5,305","5,655","5,903","6,101","6,292","6,612","6,810","7,067","7,452","7,833","7,881","7,349","7,645","7,944","8,527","9,050","9,715","10,140","10,576","10,380","10,486","10,467","9,927","10,131","11,161","11,376"
ITL3,TLI74,Harrow and Hillingdon,"12,380","13,076","13,639","13,799","14,157","14,873","15,440","16,040","16,505","17,290","17,262","15,771","16,620","17,472","17,788","18,670","20,391","20,826","20,675","21,471","21,921","22,221","17,357","18,042","21,160","22,622"
ITL3,TLI75,Hounslow and Richmond upon Thames,"10,365","11,092","11,870","12,312","12,689","13,145","13,527","14,247","15,671","16,864","17,599","17,031","17,585","18,149","19,357","20,832","22,346","23,606","25,006","25,556","26,038","26,747","21,080","21,211","25,452","26,520"
ITL1,TLJ,South East,"150,148","157,785","165,612","171,876","179,302","187,943","194,635","204,405","213,587","223,425","233,954","228,432","237,083","245,514","254,169","263,859","275,095","285,324","293,094","304,369","314,704","331,455","321,481","338,013","364,427","391,807"
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire","48,801","51,629","54,519","56,198","58,842","62,541","63,826","67,270","69,829","73,290","76,449","74,857","76,961","80,485","83,411","86,179","90,637","94,212","95,560","98,832","103,692","109,649","108,869","113,874","121,583","130,196"
ITL3,TLJ12,Milton Keynes,"5,547","5,769","6,145","6,541","7,014","7,607","7,622","8,013","8,419","8,881","9,171","8,831","9,297","9,713","9,987","10,575","11,765","13,096","12,930","13,996","14,534","14,955","14,282","15,286","16,973","17,878"
ITL3,TLJ13,Buckinghamshire,"9,178","9,650","10,129","10,499","10,817","11,331","11,512","12,134","12,548","13,140","13,764","13,394","13,631","14,233","14,585","15,061","15,574","15,773","16,138","16,402","17,011","18,310","17,654","18,761","19,960","21,363"
ITL3,TLJ14,Oxfordshire CC,"11,962","12,475","13,090","13,465","14,297","15,052","15,292","16,003","16,520","17,316","18,337","17,851","18,594","19,353","20,090","20,969","22,151","22,909","22,874","23,497","24,589","26,279","26,799","27,699","30,484","32,077"
ITL3,TLJ15,Berkshire East,"11,192","11,947","12,648","13,012","13,613","14,537","14,725","15,448","15,941","16,723","17,384","17,109","17,530","18,420","18,867","19,555","20,052","20,639","21,139","22,070","22,668","23,211","22,982","23,942","24,765","26,107"
ITL3,TLJ16,Berkshire West,"10,923","11,788","12,506","12,681","13,100","14,013","14,675","15,673","16,401","17,229","17,792","17,673","17,908","18,766","19,884","20,018","21,095","21,794","22,480","22,868","24,889","26,895","27,152","28,186","29,401","32,771"
ITL2,TLJ2,"Surrey, East and West Sussex","46,929","50,031","52,460","54,308","56,327","58,361","60,059","62,653","66,926","69,566","72,930","71,375","73,978","75,386","78,370","81,678","84,975","87,735","90,214","93,600","95,688","100,308","96,313","100,685","110,145","118,815"
ITL3,TLJ21,Brighton and Hove,"3,770","4,019","4,225","4,515","4,694","4,867","5,063","5,397","5,794","6,013","6,318","6,320","6,423","6,621","7,100","7,561","7,909","8,152","8,606","9,006","9,363","9,855","9,564","10,367","11,979","13,272"
ITL3,TLJ22,East Sussex CC,"5,471","5,782","6,040","6,316","6,592","6,864","7,038","7,371","7,692","7,932","8,417","8,070","8,311","8,529","8,561","8,836","9,289","9,704","10,237","10,537","10,731","11,229","10,953","11,762","12,622","13,661"
ITL3,TLJ25,West Surrey,"15,911","17,031","18,070","18,667","19,166","19,887","20,380","21,278","22,714","23,555","24,701","24,238","25,202","25,709","26,542","27,845","29,526","30,865","31,471","32,514","33,779","35,965","35,989","36,382","39,005","40,968"
ITL3,TLJ26,East Surrey,"8,828","9,354","9,753","10,140","10,449","10,686","11,325","11,940","13,164","13,725","13,990","14,001","14,406","14,381","15,165","15,920","16,143","15,750","15,562","15,867","15,146","15,562","14,447","15,348","17,399","19,170"
ITL3,TLJ27,West Sussex (South West),"5,647","6,145","6,429","6,595","7,018","7,387","7,483","7,661","8,019","8,328","8,828","8,437","8,828","9,054","9,478","9,811","9,975","10,444","10,999","11,789","12,242","12,780","12,360","13,110","14,064","15,231"
ITL3,TLJ28,West Sussex (North East),"7,302","7,699","7,942","8,076","8,407","8,671","8,769","9,007","9,544","10,012","10,676","10,309","10,808","11,091","11,524","11,704","12,134","12,820","13,339","13,887","14,427","14,917","12,999","13,717","15,077","16,514"
ITL2,TLJ3,Hampshire and Isle of Wight,"30,955","31,692","33,412","35,166","36,892","38,290","40,499","42,517","43,895","46,251","48,246","47,621","49,921","51,939","53,651","55,834","57,722","59,544","61,310","64,445","66,103","69,882","66,489","70,697","75,491","81,047"
ITL3,TLJ31,Portsmouth,"3,120","3,219","3,362","3,530","3,737","3,912","4,186","4,427","4,586","4,892","5,184","5,131","5,300","5,465","5,782","5,969","6,179","6,196","6,236","6,616","6,729","7,212","7,028","7,309","7,808","8,689"
ITL3,TLJ32,Southampton,"3,662","3,756","3,881","4,077","4,386","4,658","5,140","5,435","5,553","5,870","6,192","6,351","6,598","7,126","7,226","7,418","7,641","8,166","8,312","9,113","9,422","9,688","9,178","9,596","9,958","10,905"
ITL3,TLJ34,Isle of Wight,"1,373","1,432","1,502","1,560","1,674","1,756","1,866","1,932","2,038","2,092","2,199","2,109","2,189","2,298","2,409","2,576","2,703","2,769","2,769","2,905","2,952","3,127","2,977","3,194","3,534","3,774"
ITL3,TLJ35,South Hampshire,"6,318","6,399","6,751","7,082","7,366","7,566","7,912","8,285","8,617","9,027","9,415","9,125","9,709","10,081","10,536","10,928","11,490","11,697","12,167","12,639","12,371","12,783","12,158","12,914","13,971","14,979"
ITL3,TLJ36,Central Hampshire,"8,934","9,138","9,605","10,059","10,324","10,728","11,223","11,751","12,106","12,674","13,103","12,800","13,449","13,901","14,332","14,840","15,469","16,269","16,789","17,536","17,920","18,813","17,542","19,006","20,502","21,674"
ITL3,TLJ37,North Hampshire,"7,548","7,748","8,311","8,858","9,406","9,669","10,172","10,687","10,994","11,695","12,153","12,106","12,675","13,068","13,365","14,102","14,240","14,447","15,037","15,636","16,711","18,259","17,605","18,678","19,718","21,025"
ITL2,TLJ4,Kent,"23,462","24,433","25,221","26,203","27,241","28,750","30,251","31,964","32,936","34,318","36,329","34,578","36,224","37,705","38,736","40,169","41,761","43,832","46,010","47,492","49,220","51,617","49,811","52,757","57,207","61,749"
ITL3,TLJ41,Medway,"2,938","3,030","3,085","3,237","3,404","3,619","3,810","4,048","4,240","4,417","4,670","4,525","4,743","4,912","5,160","5,355","5,473","5,634","5,893","6,208","6,373","6,794","6,762","6,875","7,748","8,641"
ITL3,TLJ43,Kent Thames Gateway,"4,671","4,835","4,934","5,150","5,482","5,809","5,998","6,215","6,331","6,610","7,025","6,520","6,834","7,106","7,355","7,655","8,165","8,677","9,293","9,218","9,534","10,102","9,710","10,539","10,874","11,625"
ITL3,TLJ44,East Kent,"5,728","6,027","6,359","6,548","6,676","7,086","7,577","7,975","8,083","8,366","8,994","8,518","8,911","9,331","9,441","9,734","10,098","10,494","10,775","11,299","11,650","11,914","11,301","12,004","13,575","14,669"
ITL3,TLJ45,Mid Kent,"3,910","4,051","4,191","4,372","4,555","4,796","5,045","5,318","5,549","5,838","6,156","5,839","6,111","6,325","6,461","6,662","7,041","7,367","7,606","7,839","8,210","8,790","8,519","8,995","9,848","10,656"
ITL3,TLJ46,West Kent,"6,216","6,490","6,652","6,896","7,124","7,439","7,821","8,409","8,732","9,087","9,483","9,175","9,625","10,032","10,320","10,762","10,985","11,660","12,443","12,928","13,454","14,016","13,519","14,344","15,162","16,157"
ITL1,TLK,South West,"74,697","78,553","82,250","86,457","90,279","95,193","100,583","105,270","110,242","114,869","119,707","117,080","122,091","124,755","128,631","132,651","139,653","142,600","147,827","155,570","160,370","167,073","158,048","176,624","192,636","207,643"
ITL2,TLK3,Cornwall and Isles of Scilly,"5,613","5,819","6,155","6,467","6,973","7,558","7,858","8,357","8,922","9,141","9,575","9,062","9,285","9,653","10,026","10,419","10,763","10,979","11,570","12,484","13,008","13,526","12,509","14,416","15,737","16,616"
ITL3,TLK30,Cornwall and Isles of Scilly,"5,613","5,819","6,155","6,467","6,973","7,558","7,858","8,357","8,922","9,141","9,575","9,062","9,285","9,653","10,026","10,419","10,763","10,979","11,570","12,484","13,008","13,526","12,509","14,416","15,737","16,616"
ITL2,TLK4,Devon,"14,180","14,927","15,325","15,981","16,786","17,757","19,278","20,054","21,166","21,546","22,252","21,637","22,667","23,328","23,992","24,898","25,808","26,635","27,392","28,601","29,181","30,049","27,877","32,434","35,209","37,575"
ITL3,TLK41,Plymouth,"3,123","3,296","3,350","3,530","3,677","3,900","4,276","4,417","4,690","4,773","4,978","4,863","5,078","5,286","5,463","5,620","5,790","5,980","6,180","6,357","6,563","6,694","6,206","7,131","7,662","8,182"
ITL3,TLK42,Torbay,"1,323","1,406","1,439","1,499","1,557","1,635","1,813","1,889","1,983","2,023","2,064","1,971","2,056","2,084","2,111","2,193","2,231","2,234","2,267","2,289","2,262","2,349","2,218","2,606","2,798","2,996"
ITL3,TLK43,Devon CC,"9,734","10,225","10,536","10,953","11,553","12,222","13,189","13,749","14,492","14,750","15,211","14,804","15,534","15,959","16,418","17,085","17,788","18,421","18,946","19,955","20,356","21,005","19,453","22,697","24,750","26,397"
ITL2,TLK5,West of England,"14,661","15,421","16,346","17,552","18,398","19,354","20,448","21,168","22,157","23,482","24,580","24,522","25,681","26,178","27,400","27,849","29,612","30,374","32,076","33,552","34,161","35,867","34,586","39,050","42,590","47,109"
ITL3,TLK51,"Bristol, City of","6,911","7,238","7,644","8,243","8,594","9,001","9,574","9,878","10,351","11,172","11,686","11,875","12,494","12,586","13,143","13,399","14,074","14,717","15,675","16,769","16,670","17,534","16,769","19,190","20,651","22,772"
ITL3,TLK52,Bath & North East Somerset and South Gloucestershire,"7,751","8,182","8,702","9,310","9,804","10,353","10,874","11,290","11,805","12,311","12,894","12,647","13,187","13,591","14,257","14,450","15,537","15,657","16,401","16,783","17,491","18,333","17,817","19,860","21,939","24,337"
ITL2,TLK6,"North Somerset, Somerset and Dorset","19,520","20,693","21,793","22,251","23,004","24,125","25,365","26,826","28,023","28,846","30,204","29,252","30,144","30,876","31,574","32,649","34,348","34,918","36,169","38,427","39,793","41,268","39,525","42,988","46,842","50,646"
ITL3,TLK61,North Somerset,"2,518","2,632","2,743","2,874","2,998","3,141","3,303","3,404","3,505","3,660","3,773","3,609","3,777","3,866","4,006","4,206","4,453","4,585","4,846","4,905","5,080","5,293","5,041","5,671","6,018","6,580"
ITL3,TLK62,Somerset,"6,918","7,328","7,706","7,824","8,135","8,507","8,986","9,530","10,004","10,185","10,603","10,306","10,590","10,913","11,126","11,278","12,027","12,232","12,462","13,376","13,928","14,331","13,858","14,723","16,064","17,717"
ITL3,TLK63,"Bournemouth, Christchurch and Poole","5,395","5,715","5,992","6,195","6,357","6,783","7,147","7,609","7,987","8,317","8,707","8,555","8,711","8,912","9,047","9,572","9,915","10,116","10,705","11,578","11,609","12,143","11,599","12,673","13,798","14,969"
ITL3,TLK64,Dorset,"4,689","5,018","5,352","5,358","5,514","5,695","5,928","6,282","6,528","6,684","7,121","6,783","7,066","7,185","7,394","7,593","7,953","7,984","8,156","8,568","9,176","9,501","9,028","9,921","10,962","11,380"
ITL2,TLK7,Gloucestershire and Wiltshire,"20,723","21,693","22,631","24,206","25,118","26,399","27,633","28,866","29,974","31,854","33,096","32,606","34,314","34,720","35,640","36,836","39,122","39,694","40,621","42,505","44,226","46,363","43,550","47,735","52,258","55,698"
ITL3,TLK71,Swindon,"4,266","4,441","4,610","5,039","5,310","5,721","5,999","6,375","6,845","7,542","8,012","7,952","8,102","8,024","8,103","8,381","9,115","9,476","9,641","9,886","10,638","11,021","10,075","10,781","12,878","13,650"
ITL3,TLK72,Wiltshire,"6,510","6,883","7,212","7,741","8,044","8,386","8,788","9,068","9,343","9,835","10,223","9,989","10,581","10,924","11,346","11,676","12,365","12,358","12,735","13,119","13,566","14,055","13,393","14,931","16,111","17,265"
ITL3,TLK73,Gloucestershire CC,"9,947","10,370","10,809","11,426","11,764","12,291","12,846","13,423","13,786","14,477","14,860","14,665","15,630","15,772","16,191","16,779","17,642","17,859","18,245","19,500","20,022","21,287","20,082","22,024","23,269","24,782"
ITL1,TLL,Wales,"37,086","38,088","39,851","41,135","42,938","45,727","48,467","50,757","53,437","55,546","56,019","54,903","56,879","59,566","61,452","63,805","65,581","67,537","70,321","72,897","75,538","78,759","74,145","78,743","85,996","92,767"
ITL2,TLL3,North Wales,"8,528","8,624","9,025","9,313","9,700","10,329","10,931","11,450","12,105","12,390","12,608","12,214","12,697","13,520","13,960","14,599","14,716","15,187","15,716","16,373","17,007","17,582","16,480","17,845","19,550","21,477"
ITL3,TLL31,Isle of Anglesey,671,685,714,740,767,839,943,970,"1,001","1,013","1,022",945,955,"1,018","1,044","1,062","1,078","1,139","1,209","1,246","1,296","1,357","1,200","1,350","1,599","1,682"
ITL3,TLL32,Gwynedd,"1,506","1,508","1,562","1,613","1,740","1,879","1,973","2,115","2,260","2,313","2,343","2,255","2,259","2,361","2,421","2,541","2,547","2,603","2,614","2,765","2,816","2,903","2,591","2,856","3,069","3,312"
ITL3,TLL33,Conwy and Denbighshire,"2,133","2,176","2,269","2,370","2,530","2,686","2,844","2,974","3,110","3,169","3,204","3,065","3,203","3,356","3,392","3,618","3,758","3,852","4,024","4,292","4,384","4,509","4,264","4,521","4,911","5,360"
ITL3,TLL34,Flintshire and Wrexham,"4,219","4,255","4,480","4,590","4,662","4,924","5,171","5,392","5,734","5,896","6,039","5,949","6,279","6,785","7,103","7,378","7,333","7,593","7,869","8,070","8,511","8,813","8,424","9,118","9,970","11,123"
ITL2,TLL4,Mid and South West Wales,"10,021","10,152","10,562","10,989","11,397","12,134","13,064","13,590","14,190","14,834","15,039","14,529","15,061","15,580","16,053","16,808","17,451","18,203","18,857","19,461","20,066","20,987","19,379","20,537","22,754","24,279"
ITL3,TLL41,Mid Wales,"2,230","2,283","2,416","2,530","2,663","2,864","3,000","3,089","3,226","3,326","3,289","3,231","3,348","3,516","3,598","3,716","3,763","3,929","4,038","4,115","4,254","4,301","4,098","4,316","4,757","5,186"
ITL3,TLL42,South West Wales,"3,288","3,270","3,365","3,560","3,683","3,948","4,389","4,495","4,593","4,889","4,928","4,575","4,759","4,897","5,148","5,526","5,645","6,212","6,369","6,570","6,641","7,135","6,436","6,871","8,091","8,427"
ITL3,TLL43,Swansea,"2,923","2,987","3,105","3,283","3,427","3,653","3,961","4,205","4,394","4,574","4,722","4,712","4,741","4,916","5,006","5,146","5,557","5,483","5,748","5,999","6,323","6,517","6,056","6,284","6,766","7,302"
ITL3,TLL44,Neath Port Talbot,"1,580","1,613","1,675","1,616","1,625","1,669","1,714","1,800","1,977","2,046","2,101","2,011","2,213","2,251","2,301","2,420","2,487","2,579","2,701","2,777","2,848","3,034","2,789","3,067","3,141","3,364"
ITL2,TLL5,South East Wales,"18,537","19,312","20,264","20,833","21,840","23,265","24,471","25,717","27,141","28,321","28,371","28,159","29,121","30,466","31,439","32,399","33,413","34,147","35,748","37,063","38,465","40,189","38,286","40,361","43,691","47,011"
ITL3,TLL51,Central Valleys and Bridgend,"4,848","4,948","5,132","5,229","5,534","5,862","6,165","6,501","6,878","7,073","7,266","7,199","7,636","7,974","8,120","8,485","8,867","8,835","9,152","9,508","9,812","10,257","9,623","10,055","10,923","11,593"
ITL3,TLL52,Cardiff and Vale of Glamorgan,"6,942","7,419","7,779","8,086","8,541","9,136","9,582","10,123","10,702","11,421","11,341","11,462","11,581","12,060","12,659","13,022","13,426","13,791","14,559","15,041","15,363","16,124","15,610","16,583","18,034","19,570"
ITL3,TLL53,Gwent Valleys,"3,409","3,449","3,619","3,679","3,807","4,009","4,212","4,404","4,624","4,689","4,719","4,581","4,792","5,100","5,171","5,390","5,519","5,681","5,856","6,125","6,414","6,721","6,325","6,745","7,091","7,605"
ITL3,TLL54,Monmouthshire and Newport,"3,338","3,496","3,734","3,838","3,958","4,257","4,512","4,689","4,937","5,137","5,047","4,917","5,113","5,331","5,489","5,502","5,601","5,839","6,181","6,388","6,876","7,087","6,728","6,978","7,644","8,244"
ITL1,TLM,Scotland,"78,219","79,925","83,310","87,965","91,522","96,816","103,118","109,293","116,701","121,703","126,644","125,071","126,694","130,975","135,006","141,046","147,604","149,354","151,973","159,217","162,423","168,993","158,489","171,688","188,246","204,188"
ITL2,TLM0,Eastern Scotland,"12,003","12,152","12,617","13,078","13,712","14,545","15,239","15,989","17,268","18,034","18,416","18,171","18,353","18,891","19,603","20,480","21,365","21,769","22,223","23,019","23,241","24,381","22,847","24,656","26,764","28,478"
ITL3,TLM01,Clackmannanshire and Fife,"4,882","4,992","5,174","5,334","5,572","5,871","6,150","6,442","6,989","7,279","7,540","7,262","7,417","7,610","7,854","8,168","8,594","8,792","9,084","9,393","9,436","9,854","9,530","10,320","11,223","11,648"
ITL3,TLM02,"Perth and Kinross, and Stirling","3,803","3,786","3,865","4,040","4,290","4,586","4,820","5,097","5,554","5,828","5,853","6,000","5,905","6,069","6,428","6,785","6,990","7,187","7,218","7,548","7,539","7,903","7,144","7,586","8,235","8,949"
ITL3,TLM03,Angus and Dundee City,"3,319","3,374","3,578","3,704","3,850","4,088","4,269","4,450","4,725","4,927","5,023","4,909","5,031","5,212","5,322","5,527","5,781","5,790","5,920","6,078","6,266","6,624","6,173","6,750","7,305","7,881"
ITL2,TLM1,East Central Scotland,"17,017","17,322","18,373","19,525","20,748","22,321","24,104","25,403","26,849","28,147","28,515","28,895","29,306","29,816","30,817","31,911","33,236","34,282","36,467","38,590","40,046","41,833","39,497","43,755","49,126","53,835"
ITL3,TLM11,East Lothian and Midlothian,"1,689","1,743","1,834","1,902","2,003","2,124","2,243","2,321","2,465","2,567","2,632","2,542","2,627","2,760","2,854","3,085","3,275","3,408","3,540","3,734","3,939","4,121","3,884","4,282","4,773","5,185"
ITL3,TLM12,Falkirk,"2,330","2,322","2,401","2,497","2,587","2,793","2,961","3,162","3,363","3,437","3,668","3,575","3,656","3,659","3,654","3,773","3,918","4,071","4,086","4,223","4,382","4,587","4,339","4,686","4,945","5,120"
ITL3,TLM13,City of Edinburgh,"10,433","10,603","11,427","12,317","13,194","14,264","15,557","16,442","17,311","18,251","18,196","18,938","19,029","19,186","20,023","20,835","21,618","22,104","24,038","25,608","26,436","27,676","25,982","28,944","32,892","36,528"
ITL3,TLM14,West Lothian,"2,565","2,653","2,711","2,809","2,963","3,141","3,344","3,478","3,711","3,892","4,020","3,841","3,994","4,211","4,286","4,219","4,425","4,699","4,802","5,024","5,289","5,449","5,291","5,842","6,516","7,003"
ITL2,TLM2,Highlands and Islands,"6,374","6,707","6,948","7,282","7,454","8,127","8,748","9,366","9,769","10,127","10,705","10,559","10,901","11,565","11,803","12,200","12,579","12,649","12,777","13,679","13,892","14,607","13,582","14,409","15,859","17,129"
ITL3,TLM20,Highlands and Islands,"6,374","6,707","6,948","7,282","7,454","8,127","8,748","9,366","9,769","10,127","10,705","10,559","10,901","11,565","11,803","12,200","12,579","12,649","12,777","13,679","13,892","14,607","13,582","14,409","15,859","17,129"
ITL2,TLM3,West Central Scotland,"22,102","22,672","23,580","24,981","25,664","27,019","29,006","30,890","32,525","33,263","34,634","33,904","33,750","35,079","35,788","37,359","39,521","40,084","40,947","43,311","44,300","46,212","44,026","48,429","52,746","57,632"
