"Table 5: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLD41,Blackburn with Darwen,"1,753","1,821","1,843","1,885","1,980","2,135","2,243","2,300","2,365","2,472","2,547","2,466","2,597","2,694","2,837","2,916","3,065","3,241","3,391","3,452","3,506","3,604","3,521","3,977","4,409","4,723"
ITL3,TLD42,Blackpool,"1,500","1,550","1,588","1,659","1,751","1,898","2,042","2,122","2,179","2,228","2,234","2,136","2,262","2,310","2,374","2,420","2,495","2,611","2,752","2,906","3,028","3,260","3,036","3,238","3,631","3,796"
ITL3,TLD44,Lancaster and Wyre,"2,779","2,878","2,867","2,940","3,135","3,465","3,684","3,907","4,095","4,229","4,305","3,951","4,021","4,130","4,267","4,507","4,611","5,014","5,063","5,125","5,226","5,473","5,257","5,646","6,308","6,949"
ITL3,TLD45,Mid Lancashire,"7,489","7,875","8,188","8,502","8,875","9,600","10,248","10,567","10,713","11,249","11,362","10,738","10,929","11,218","11,613","11,915","12,254","12,857","13,451","13,779","13,581","13,814","13,402","15,025","16,290","17,487"
ITL3,TLD46,East Lancashire,"4,009","4,235","4,294","4,398","4,546","4,843","5,087","5,258","5,389","5,604","5,670","5,322","5,567","5,826","6,005","6,059","6,355","6,504","6,838","7,037","7,199","7,311","6,819","7,623","8,166","8,662"
ITL3,TLD47,Chorley and West Lancashire,"2,609","2,709","2,785","2,885","3,066","3,269","3,445","3,500","3,580","3,758","3,878","3,802","4,004","4,103","4,157","4,208","4,431","4,569","4,919","5,106","5,292","5,670","5,373","6,101","6,656","7,327"
ITL2,TLD6,Cheshire,"16,112","16,946","17,384","19,403","20,016","20,417","21,753","22,948","24,436","25,567","25,528","25,173","26,310","27,048","27,984","29,010","30,698","31,423","33,496","34,888","35,624","37,444","35,872","37,936","41,973","45,801"
ITL3,TLD61,Warrington,"4,023","4,111","4,312","4,720","4,928","5,103","5,283","5,609","5,868","6,189","6,132","5,834","6,001","6,173","6,356","6,695","7,093","7,469","7,846","8,432","8,502","9,078","8,949","9,445","10,365","11,474"
ITL3,TLD62,Cheshire East,"6,597","6,922","7,194","8,284","8,549","8,312","9,233","9,797","10,489","10,736","10,657","10,338","10,795","11,386","11,970","12,287","13,044","13,589","14,781","14,751","15,186","15,708","15,139","15,357","17,194","18,593"
ITL3,TLD63,Cheshire West and Chester,"5,492","5,912","5,879","6,399","6,539","7,002","7,237","7,542","8,079","8,642","8,739","9,001","9,514","9,488","9,659","10,028","10,561","10,365","10,869","11,705","11,935","12,657","11,784","13,134","14,414","15,734"
ITL2,TLD7,Merseyside,"18,191","19,243","20,044","21,127","22,266","24,015","25,285","26,195","28,103","28,323","29,484","29,855","30,899","31,318","30,939","31,981","33,469","34,503","35,197","36,624","37,402","39,447","37,610","41,948","45,531","49,196"
