Dose number,BC,AB,SK,MB,ON,QC,NB,NS,PE,NL,YT,NT,NU
1,12 months,12 months,12 months,12 months,12 months,12 months,12 months,12 months,12 months,12 months,12 months,12 months,12 months
2,4-6 years,18 months,18 months,4-6 years,4-6 years,18 months,18 months,18 months,18 months,18 months,4-6 years,18 months,18 months
