Geography,Year,Immunization Type,Birth Cohort,Immunization Percent,Standard Error,Standard Score,Alberta Percent
Z1,2022,MMR Dose 1 by Age 13,2009,93.75,0.35000000000000003,-4.319999999999999,95.25
Z1,2023,MMR Dose 1 by Age 13,2010,93.21000000000001,0.37000000000000005,-4.73,94.95
Z1,2014,MMR Dose 1 by Age 17,1997,96.31000000000002,0.29000000000000004,0.27,96.23
Z1,2015,MMR Dose 1 by Age 17,1998,96.68,0.28,0.6200000000000001,96.51
Z1,2016,MMR Dose 1 by Age 17,1999,96.98,0.25,1.06,96.71000000000001
Z1,2017,MMR Dose 1 by Age 17,2000,96.38000000000001,0.29000000000000004,-1.9500000000000002,96.94000000000001
Z1,2018,MMR Dose 1 by Age 17,2001,96.46000000000001,0.28,-2.03,97.03
Z1,2019,MMR Dose 1 by Age 17,2002,96.94000000000001,0.25,-1.12,97.22
Z1,2020,MMR Dose 1 by Age 17,2003,96.7,0.26,-4.01,97.75
Z1,2021,MMR Dose 1 by Age 17,2004,97.31000000000002,0.22,-2.3600000000000003,97.84000000000002
Z1,2022,MMR Dose 1 by Age 17,2005,97.01,0.24000000000000002,-3.4600000000000004,97.83000000000001
Z1,2023,MMR Dose 1 by Age 17,2006,96.57,0.25,-2.81,97.27
Z1,2014,MMR Dose 1 by Age 2,2012,84.84000000000002,0.55,-5.8100000000000005,88.05
Z1,2015,MMR Dose 1 by Age 2,2013,82.07,0.6000000000000001,-8.38,87.11000000000001
Z1,2016,MMR Dose 1 by Age 2,2014,81.81000000000002,0.6000000000000001,-9.18,87.29
Z1,2017,MMR Dose 1 by Age 2,2015,81.71000000000001,0.59,-9.0,87.05
Z1,2018,MMR Dose 1 by Age 2,2016,81.73,0.6100000000000001,-8.23,86.73
Z1,2019,MMR Dose 1 by Age 2,2017,80.14000000000001,0.6400000000000001,-10.700000000000001,86.96000000000001
Z1,2020,MMR Dose 1 by Age 2,2018,80.04,0.6500000000000001,-10.160000000000002,86.65
Z1,2021,MMR Dose 1 by Age 2,2019,74.18,0.7100000000000001,-12.64,83.2
Z1,2022,MMR Dose 1 by Age 2,2020,69.89,0.7500000000000001,-16.130000000000003,82.07
Z1,2023,MMR Dose 1 by Age 2,2021,71.43,0.7400000000000001,-13.780000000000001,81.67
Z1,2014,MMR Dose 2 by Age 13,2001,92.07,0.43000000000000005,0.7100000000000001,91.76
Z1,2015,MMR Dose 2 by Age 13,2002,92.11000000000001,0.43000000000000005,1.01,91.68
Z1,2016,MMR Dose 2 by Age 13,2003,92.86000000000001,0.4,4.22,91.18
Z1,2017,MMR Dose 2 by Age 13,2004,92.13000000000001,0.41000000000000003,1.6400000000000001,91.45
Z1,2018,MMR Dose 2 by Age 13,2005,91.4,0.43000000000000005,0.13,91.34000000000002
Z1,2019,MMR Dose 2 by Age 13,2006,90.37,0.44,-2.4800000000000004,91.46000000000001
Z1,2020,MMR Dose 2 by Age 13,2007,89.89000000000001,0.44,-2.55,91.01
Z1,2021,MMR Dose 2 by Age 13,2008,88.86000000000001,0.46,-2.03,89.81000000000002
Z1,2022,MMR Dose 2 by Age 13,2009,88.38000000000001,0.46,-3.15,89.83000000000001
Z1,2023,MMR Dose 2 by Age 13,2010,87.98,0.48000000000000004,-3.39,89.61000000000001
Z1,2014,MMR Dose 2 by Age 17,1997,93.5,0.39,2.8000000000000003,92.41000000000001
Z1,2015,MMR Dose 2 by Age 17,1998,94.43,0.35000000000000003,4.76,92.75
Z1,2016,MMR Dose 2 by Age 17,1999,94.34000000000002,0.35000000000000003,3.19,93.22
Z1,2017,MMR Dose 2 by Age 17,2000,94.12,0.37000000000000005,1.6900000000000002,93.49000000000001
Z1,2018,MMR Dose 2 by Age 17,2001,93.73,0.37000000000000005,0.97,93.37
Z1,2019,MMR Dose 2 by Age 17,2002,94.13000000000001,0.35000000000000003,1.59,93.56
Z1,2020,MMR Dose 2 by Age 17,2003,94.54,0.34,0.6300000000000001,94.32000000000001
Z1,2021,MMR Dose 2 by Age 17,2004,93.87,0.35000000000000003,-1.36,94.35000000000001
Z1,2022,MMR Dose 2 by Age 17,2005,93.08,0.38000000000000006,-1.3900000000000001,93.60000000000001
Z1,2023,MMR Dose 2 by Age 17,2006,91.78,0.4,-2.11,92.62
Z1,2023,MMR Dose 2 by Age 2,2021,59.59,0.8,-12.160000000000002,69.32
Z1,2014,MMR Dose 2 by Age 7,2007,80.83000000000001,0.6000000000000001,0.44,80.57
Z1,2015,MMR Dose 2 by Age 7,2008,81.95,0.58,1.1,81.30000000000001
Z1,2016,MMR Dose 2 by Age 7,2009,81.08,0.58,-1.7700000000000002,82.10000000000001
Z1,2017,MMR Dose 2 by Age 7,2010,81.89000000000001,0.58,0.44,81.63000000000001
Z1,2018,MMR Dose 2 by Age 7,2011,80.26,0.6100000000000001,-1.35,81.08
Z1,2019,MMR Dose 2 by Age 7,2012,81.39000000000001,0.58,-0.5700000000000001,81.72
Z1,2020,MMR Dose 2 by Age 7,2013,79.94000000000001,0.6100000000000001,3.8400000000000003,77.60000000000001
Z1,2021,MMR Dose 2 by Age 7,2014,76.49000000000001,0.6400000000000001,2.74,74.73
Z1,2022,MMR Dose 2 by Age 7,2015,71.89,0.6700000000000002,-3.25,74.08
Z1,2023,MMR Dose 2 by Age 7,2016,69.33,0.7000000000000001,-4.7,72.63000000000001
Z2,2014,MMR Dose 1 by Age 13,2001,98.25,0.09,20.970000000000002,96.38000000000001
Z2,2015,MMR Dose 1 by Age 13,2002,98.12,0.09,17.69,96.51
Z2,2016,MMR Dose 1 by Age 13,2003,98.02,0.09,14.93,96.66000000000001
Z2,2017,MMR Dose 1 by Age 13,2004,98.19000000000001,0.09,14.92,96.92
Z2,2018,MMR Dose 1 by Age 13,2005,97.88000000000001,0.09,8.55,97.09
Z2,2019,MMR Dose 1 by Age 13,2006,97.85000000000001,0.09,11.600000000000001,96.81000000000002
Z2,2020,MMR Dose 1 by Age 13,2007,97.36000000000001,0.1,10.73,96.30000000000001
Z2,2021,MMR Dose 1 by Age 13,2008,96.83000000000001,0.11,11.200000000000001,95.64000000000001
Z2,2022,MMR Dose 1 by Age 13,2009,96.32000000000001,0.12000000000000001,8.97,95.25
Z2,2023,MMR Dose 1 by Age 13,2010,96.66000000000001,0.11,15.31,94.95
