Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Métis - No identification related to statistical area classification,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Both sexes,1.514,1.301,1.728,,1220,,18325,6.7,5.7,7.6,,6.6,5.7,7.6,,2.257,1.32,3.194,,33.971,24.454,43.488,,0.125,0.073,0.177,,0.006,0.003,0.008,,415,242,589,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Non-Indigenous [reference],Both sexes,1,,,,291810,,6.64991e+006,4.4,4.4,4.4,,4.4,4.4,4.4,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,First Nations,Males,2.08,2.016,2.145,,15875,,173975,9.1,8.9,9.4,,9.1,8.9,9.4,,4.745,4.478,5.013,,51.93,50.439,53.421,,4.819,4.538,5.1,,0.223,0.21,0.236,,8242,7762,8722,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,First Nations on reserve,Males,2.606,2.537,2.674,,6670,,58300,11.4,11.2,11.7,,11.4,11.2,11.7,,7.052,6.767,7.338,,61.62,60.612,62.628,,2.405,2.303,2.506,,0.111,0.106,0.116,,4113,3941,4285,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,First Nations off reserve,Males,1.816,1.731,1.9,,9200,,115675,7.9,7.6,8.3,,8,7.6,8.3,,3.583,3.222,3.944,,44.923,42.356,47.49,,2.415,2.165,2.666,,0.112,0.1,0.123,,4131,3703,4560,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Inuit,Males,0.979,0.857,1.101,,585,,13525,4.3,3.8,4.9,,4.3,3.8,4.8,,-0.093,-0.626,0.441,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Inuit inside Inuit Nunangat,Males,0.859,0.765,0.952,,375,,9995,3.8,3.4,4.2,,3.8,3.4,4.2,,-0.621,-1.032,-0.211,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Inuit outside Inuit Nunangat,Males,1.374,0.987,1.761,,210,,3530,5.9,4.2,7.6,,6,4.3,7.7,,1.642,-0.055,3.34,,27.214,6.347,48.08,,0.033,-0.001,0.067,,0.002,0,0.003,,57,-2,115,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Métis,Males,1.002,0.922,1.082,,3725,,84845,4.4,4.1,4.7,,4.4,4.1,4.7,,0.008,-0.343,0.359,,0.179,-7.899,8.258,,0.004,-0.17,0.178,,0,-0.008,0.008,,7,-291,304,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Métis in urban area (population centre),Males,1.199,1.097,1.301,,3110,,59045,5.3,4.8,5.7,,5.3,4.8,5.7,,0.874,0.428,1.32,,16.6,9.476,23.725,,0.301,0.148,0.455,,0.014,0.007,0.021,,515,253,778,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Métis in rural area,Males,0.55,0.445,0.656,,615,,25505,2.4,2,2.9,,2.4,2,2.9,,-1.975,-2.441,-1.509,,,,,,-,-,-,,-,-,-,,-,-,-,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Aboriginal multiple responses and Aboriginal responses not included elsewhere,Males,1.455,1.203,1.707,,595,,9350,6.4,5.3,7.5,,6.4,5.3,7.5,,1.999,0.891,3.107,,31.273,19.322,43.224,,0.109,0.049,0.17,,0.005,0.002,0.008,,187,83,291,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,Non-Indigenous [reference],Males,1,,,,150250,,3.41979e+006,4.4,4.4,4.4,,4.4,4.3,4.4,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),Canada,Indigenous identity,First Nations,Females,2.082,2.013,2.151,,15130,,165860,9.1,8.8,9.4,,9.1,8.8,9.4,,4.742,4.457,5.027,,51.969,50.388,53.55,,4.866,4.582,5.151,,0.225,0.211,0.238,,7861,7403,8318,,Census 2021
