Data table/Tableaux de données  :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Life Course,Geography,Stratifier,Domain,Sex,Rate ratio (RR),"Low 95% confidence interval, RR","High 95% confidence interval, RR","Reportability, RR",Numerator,"Reportability, numerator",Denominator,Crude rate,"Low 95% confidence interval, crude rate","High 95% confidence interval, crude rate","Reportability, crude rate",Age-standardized rate,"Low 95% confidence interval, age-standardized rate","High 95% confidence interval, age-standardized rate","Reportability, age-standardized rate",Rate difference (RD),"Low 95% confidence interval, RD","High 95% confidence interval, RD","Reportability, RD",Attributable fraction (%) (AF (%)),"Low 95% confidence interval, AF (%)","High 95% confidence interval, AF (%)","Reportability, AF (%)",Population attributable fraction (%) (PAF (%)),"Low 95% confidence interval, PAF (%)","High 95% confidence interval, PAF (%)","Reportability, PAF (%)",Population attributable rate (PAR),"Low 95% confidence interval, PAR","High 95% confidence interval, PAR","Reportability, PAR",Population impact number (PIN),"Low 95% confidence interval, PIN","High 95% confidence interval, PIN","Reportability, PIN",Sources
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Both sexes,6.315,4.616,8.014,,285,,1620,17.7,13.3,22,,17.4,13,21.8,,14.679,10.29,19.067,,84.165,79.886,88.444,,4.691,3.295,6.087,,0.18,0.127,0.233,,241,171,312,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Southeast Asian (incl. Filipino) ,Both sexes,2.744,1.712,3.776,,155,E,2150,7.4,4.7,10.1,,7.6,4.9,10.2,,4.816,2.126,7.507,,63.557,49.687,77.428,,1.964,0.83,3.097,E,0.075,0.032,0.118,E,101,43,159,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,South Asian ,Both sexes,1.543,0.691,2.395,,75,E,1730,4.4,2.3,6.6,,4.3,2,6.5,,1.5,-0.803,3.803,,35.194,-3.171,73.56,,0.522,-0.25,1.295,E,0.02,-0.009,0.049,E,27,-13,66,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Arab ,Both sexes,7.357,5.432,9.282,,410,,1995,20.5,15.4,25.6,,20.3,15.2,25.4,,17.556,12.502,22.611,,86.408,82.905,89.91,,6.849,4.807,8.891,,0.263,0.182,0.344,,352,243,461,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,West Asian,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Latin American ,Both sexes,6.036,2.418,9.654,,100,E,570,16.8,7.1,26.5,,16.7,6.9,26.4,,13.909,4.131,23.686,,83.434,71.211,95.656,,1.557,0.401,2.713,E,0.06,0.016,0.104,E,80,21,139,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Multiple origins,Both sexes,4.601,1.763,7.439,,65,E,505,12.9,4.9,20.9,,12.7,5.1,20.3,,9.945,2.325,17.564,,78.265,63.707,92.824,,1,0.204,1.796,E,0.038,0.008,0.069,E,51,11,92,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Origins responses not included elsewhere,Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Total - Not white,Both sexes,3.462,2.956,3.969,,2025,,21160,9.6,8.7,10.5,,9.6,8.7,10.5,,6.8,5.84,7.76,,71.118,66.953,75.283,,27.972,23.939,32.005,,1.073,0.923,1.223,,1439,1237,1640,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,White [reference],Both sexes,1,,,,3125,,112915,2.8,2.5,3,,2.8,2.5,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,First Nations/Inuit/Métis,Males,2.245,1.698,2.792,,255,,4170,6.1,4.9,7.2,,6.1,5,7.3,,3.409,2.154,4.663,,55.459,44.848,66.07,,5.283,3.225,7.34,,0.205,0.13,0.28,,141,89,192,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Black ,Males,3.983,2.633,5.332,,215,,1940,10.9,7.4,14.3,,10.9,7.5,14.3,,8.165,4.77,11.56,,74.89,66.356,83.424,,5.943,3.47,8.416,,0.231,0.135,0.326,,158,93,224,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Males,7.496,4.919,10.074,,195,,905,21.3,14.6,28,,20.5,13.8,27.2,,17.784,11.106,24.463,,86.66,81.997,91.323,,6.253,4.052,8.453,,0.243,0.156,0.329,,166,107,226,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Southeast Asian (incl. Filipino) ,Males,2.77,1.631,3.909,,75,E,1100,7.2,4.3,10.1,,7.6,4.6,10.5,,4.847,1.903,7.79,,63.904,46.613,81.195,,1.904,0.664,3.144,E,0.074,0.027,0.121,E,51,18,83,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,South Asian ,Males,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Arab ,Males,6.915,4.707,9.124,,200,,1040,18.9,13.4,24.4,,18.9,13.3,24.6,,16.194,10.537,21.85,,85.539,80.803,90.276,,6.329,4.004,8.655,,0.246,0.154,0.337,,168,106,231,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Latin American ,Males,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Multiple origins,Males,6.547,2.931,10.162,,45,E,245,17.5,7.5,27.5,,17.9,8.5,27.4,,15.185,5.711,24.658,,84.725,75.981,93.469,,1.372,0.477,2.267,E,0.053,0.019,0.088,E,36,13,60,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Total - Not white,Males,3.661,3.042,4.279,,1080,,10755,10,9,11.1,,10,8.9,11.1,,7.284,6.165,8.402,,72.682,68.213,77.152,,29.433,24.664,34.201,,1.142,0.962,1.322,,783,660,906,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,White [reference],Males,1,,,,1585,,57815,2.7,2.4,3.1,,2.7,2.4,3.1,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,First Nations/Inuit/Métis,Females,2.282,1.448,3.116,,255,E,4135,6.3,4.1,8.4,,6.4,4.2,8.6,,3.574,1.338,5.809,,56.183,38.42,73.947,,5.856,2.284,9.428,E,0.222,0.083,0.36,E,145,55,236,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Black ,Females,3.123,2.106,4.14,,180,,2020,8.8,6.1,11.4,,8.7,6.1,11.3,,5.917,3.307,8.526,,67.979,57.121,78.837,,4.847,2.676,7.019,,0.184,0.103,0.264,,120,68,173,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,"East Asian (Chinese, Japanese, Korean) ",Females,4.938,2.869,7.007,,95,E,725,13.1,8.1,18.2,,13.8,8.1,19.4,,10.975,5.377,16.573,,79.749,70.893,88.605,,3.042,1.489,4.595,E,0.115,0.056,0.175,E,76,37,114,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Southeast Asian (incl. Filipino) ,Females,2.748,1.329,4.167,,80,E,1045,7.6,3.9,11.4,,7.7,3.9,11.4,,4.872,1.098,8.645,,63.61,44.249,82.97,,2.04,0.481,3.599,E,0.077,0.019,0.136,E,51,12,89,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,South Asian ,Females,1.463,0.613,2.313,,35,E,855,4.3,2.1,6.4,,4.1,1.8,6.3,,1.29,-1.021,3.6,,31.633,-8.431,71.696,,0.462,-0.318,1.241,E,0.017,-0.012,0.047,E,11,-8,30,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Arab ,Females,7.923,5.535,10.31,,215,,950,22.2,15.9,28.5,,22.1,15.8,28.3,,19.294,13.041,25.547,,87.378,83.626,91.131,,7.419,4.908,9.931,,0.281,0.181,0.381,,184,119,250,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Latin American ,Females,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Multiple origins,Females,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,Total - Not white,Females,3.265,2.67,3.861,,945,,10405,9.1,7.9,10.3,,9.1,7.9,10.3,,6.314,5.033,7.594,,69.376,63.781,74.971,,26.422,21.511,31.333,,1.001,0.802,1.2,,656,525,787,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Cultural/racial background,White [reference],Females,1,,,,1540,,55100,2.8,2.5,3.1,,2.8,2.5,3.1,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Recent immigrant (?10 years) ,Both sexes,5.224,4.25,6.197,,855,,5805,14.6,12.4,16.9,,15.6,12.9,18.4,,12.652,9.944,15.36,,80.856,77.223,84.489,,13.37,10.976,15.763,,0.513,0.415,0.611,,688,556,819,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Long-term immigrant (>10 years),Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Non-permanent resident,Both sexes,11.306,8.417,14.195,,490,,1400,34.8,28,41.6,,33.9,26.5,41.2,,30.873,23.442,38.303,,91.155,88.902,93.408,,8.662,6.454,10.87,,0.332,0.252,0.413,,445,338,553,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Non-immigrant [reference],Both sexes,1,,,,3790,,126435,3,2.7,3.3,,3,2.7,3.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Recent immigrant (?10 years) ,Males,5.212,4.125,6.298,,450,,3055,14.8,12.3,17.4,,15.6,12.5,18.7,,12.609,9.542,15.677,,80.812,76.829,84.795,,13.751,10.903,16.598,,0.533,0.418,0.649,,366,287,445,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Non-permanent resident,Males,11.597,7.804,15.389,,265,,730,35.7,26.6,44.8,,34.7,24.4,45.1,,31.727,21.365,42.089,,91.377,88.506,94.248,,8.964,6.005,11.923,,0.348,0.231,0.464,,238,159,318,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Non-immigrant [reference],Males,1,,,,1935,,64585,3,2.7,3.3,,3,2.7,3.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Recent immigrant (?10 years) ,Females,5.191,3.879,6.504,,400,,2760,14.4,11.4,17.4,,15.6,12,19.1,,12.563,9.019,16.107,,80.737,75.854,85.621,,12.934,9.685,16.183,,0.49,0.361,0.62,,321,236,406,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Non-permanent resident,Females,10.906,7.829,13.983,,230,,670,33.8,26.7,40.9,,32.7,24.8,40.6,,29.691,21.739,37.642,,90.831,88.305,93.356,,8.332,6.024,10.64,,0.316,0.231,0.4,,207,151,262,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status,Non-immigrant [reference],Females,1,,,,1850,,61850,3,2.7,3.3,,3,2.7,3.3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Black",Both sexes,6.787,3.894,9.679,,200,E,1080,18.4,11.2,25.6,,18.1,10.8,25.4,,15.418,8.109,22.727,,85.265,78.686,91.844,,3.307,1.703,4.911,E,0.127,0.065,0.188,E,170,88,253,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Both sexes,7.298,4.163,10.432,E,190,,1340,14.5,10,18.9,,19.4,11.3,27.6,E,16.78,8.637,24.923,E,86.297,80.338,92.257,E,3.262,2.122,4.401,,0.125,0.081,0.169,,168,108,227,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Both sexes,6.593,4.891,8.295,,345,,2025,17.1,13.2,21.1,,17.6,13.2,21.9,,14.902,10.553,19.251,,84.833,80.648,89.018,,5.727,4.07,7.384,,0.22,0.154,0.285,,295,207,382,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Latin American/Other/Multiple origins",Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, White",Both sexes,2.687,0.822,4.553,,70,E,1065,6.5,2.5,10.5,,7.2,2.1,12.2,,4.496,-0.486,9.478,,62.789,32.622,92.957,,0.842,-0.018,1.703,E,0.032,-0.001,0.066,E,43,-1,88,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Both sexes,11.271,6.328,16.214,,70,E,215,32.9,19.2,46.5,,30,17.7,42.4,,27.366,14.961,39.772,,91.128,87.156,95.1,,1.234,0.582,1.886,E,0.047,0.023,0.072,E,63,31,96,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Both sexes,16.47,10.73,22.209,,190,,380,51.7,40.1,63.4,,43.9,29.6,58.2,,41.218,26.912,55.524,,93.928,91.796,96.06,,3.545,2.458,4.632,,0.136,0.095,0.177,,182,128,237,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Arab/South/West Asian",Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Both sexes,11.993,5.488,18.497,,95,E,265,33.8,17.1,50.6,,32,15.5,48.4,,29.289,12.767,45.811,,91.662,86.509,96.814,,1.614,0.535,2.693,E,0.062,0.022,0.102,E,83,29,137,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, White",Both sexes,9.015,3.88,14.149,,80,E,330,24.6,13.3,35.9,,24,10.7,37.3,,21.354,8.02,34.688,,88.907,82.196,95.617,,1.414,0.677,2.151,E,0.054,0.026,0.082,E,73,35,110,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Black",Both sexes,1.558,0.935,2.182,,110,E,2565,4.3,2.7,5.8,,4.2,2.5,5.8,,1.488,-0.127,3.103,,35.834,9.899,61.769,,0.761,-0.002,1.524,E,0.029,0,0.058,E,39,0,78,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, East/Southeast Asian",Both sexes,0.734,0.343,1.125,,50,E,1895,2.6,1.2,4,,2,0.9,3,,-0.708,-1.764,0.348,,,,,,-,-,-,E,-,-,-,E,-,-,-,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Arab/South/West Asian",Both sexes,1.556,0.722,2.39,,105,E,1590,6.4,3.3,9.4,,4.1,2,6.3,,1.481,-0.698,3.66,,35.728,-1.336,72.791,,0.705,-0.282,1.692,E,0.027,-0.011,0.065,E,36,-14,87,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Latin American/Other/Multiple origins",Both sexes,,,,F,-,F,,,,,F,,,,F,,,,F,,,,F,-,-,-,F,-,-,-,F,-,-,-,F,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Both sexes,1,,,,2970,,111425,2.7,2.4,2.9,,2.7,2.4,2.9,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Both sexes,6.547,5.211,7.883,,780,,4750,16.5,13.9,19,,17.4,14.4,20.5,,14.779,11.712,17.847,,84.726,81.558,87.894,,12.873,10.589,15.156,,0.494,0.402,0.585,,662,539,785,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Both sexes,13.857,10.255,17.459,,410,,1070,38,30.7,45.2,,36.9,29.1,44.7,,34.256,26.373,42.139,,92.783,90.913,94.654,,7.341,5.458,9.225,,0.282,0.214,0.349,,378,286,469,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Both sexes,1.992,1.59,2.395,,820,,15005,5.4,4.6,6.3,,5.3,4.4,6.2,,2.644,1.708,3.58,,49.809,39.572,60.047,,7.913,5.095,10.731,,0.304,0.196,0.411,,407,263,551,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Black",Males,6.581,3.183,9.979,,100,E,540,19,10.3,27.7,,17.4,9,25.8,,14.734,6.309,23.16,,84.805,76.257,93.353,,3.249,1.393,5.106,E,0.126,0.055,0.197,E,86,38,135,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Males,7.513,3.01,12.016,,115,E,735,15.8,9.8,21.8,,19.8,8.2,31.5,,17.196,5.596,28.796,,86.69,79.3,94.081,,3.779,2.289,5.269,E,0.147,0.088,0.205,E,101,61,140,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Males,5.502,3.666,7.338,,160,,1065,15.3,11.2,19.4,,14.5,9.9,19.2,,11.886,7.266,16.506,,81.825,75.396,88.255,,5.02,3.299,6.741,,0.195,0.128,0.261,,134,88,179,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Males,19.055,11.768,26.342,,125,E,215,57.8,43.4,72.1,,50.3,32.8,67.8,,47.667,30.181,65.153,,94.752,92.762,96.742,,4.327,2.673,5.981,E,0.168,0.104,0.232,E,115,71,159,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Latin American/Other/Multiple origins",Males,8.669,3.439,13.899,,35,E,130,27.7,10.5,45,,22.9,9.6,36.2,,20.248,6.954,33.541,,88.465,80.571,96.359,,1.172,0.327,2.017,E,0.045,0.013,0.078,E,31,9,53,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Black",Males,2.121,0.973,3.269,,70,E,1240,5.4,2.7,8,,5.6,2.6,8.6,,2.96,-0.017,5.936,,52.855,25.974,79.737,,1.324,0.093,2.555,E,0.051,0.004,0.099,E,35,3,68,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Males,1,,,,1510,,57065,2.6,2.3,3,,2.6,2.3,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Males,6.33,4.857,7.803,,420,,2515,16.6,13.7,19.5,,16.7,13.4,20.1,,14.072,10.734,17.409,,84.202,80.544,87.86,,13.199,10.404,15.995,,0.512,0.405,0.62,,351,277,425,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Males,14.231,9.596,18.866,,225,,560,39.4,29.8,49.1,,37.6,26.9,48.3,,34.93,24.186,45.674,,92.973,90.699,95.247,,7.728,5.208,10.248,,0.3,0.202,0.398,,206,138,273,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Males,2.107,1.652,2.563,,425,,7525,5.7,4.7,6.7,,5.6,4.6,6.5,,2.924,1.909,3.939,,52.548,42.552,62.543,,8.414,5.337,11.491,,0.326,0.21,0.443,,224,144,304,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Black",Females,6.888,3.641,10.135,,95,E,550,17.9,10.1,25.6,,18.5,10.3,26.7,,15.835,7.586,24.084,,85.482,78.196,92.768,,3.358,1.552,5.164,E,0.127,0.06,0.195,E,83,39,128,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, East/Southeast Asian",Females,6.986,2.318,11.654,,75,E,615,12.8,5.6,20,,18.8,6.7,30.9,,16.099,4.006,28.192,,85.686,75.642,95.73,,2.707,0.937,4.476,E,0.103,0.035,0.17,E,67,23,112,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Arab/South/West Asian",Females,7.554,5.13,9.979,,185,,965,19.2,13.8,24.5,,20.3,14.1,26.5,,17.627,11.418,23.835,,86.762,82.341,91.184,,6.43,4.26,8.6,,0.244,0.158,0.329,,160,104,216,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Black",Females,12.334,5.472,19.195,,35,E,95,34.6,16.6,52.7,,33.2,15.9,50.5,,30.48,13.117,47.843,,91.892,86.852,96.932,,1.208,0.539,1.878,E,0.046,0.021,0.071,E,30,14,46,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, East/Southeast Asian",Females,11.82,7.107,16.532,,75,E,165,44,29.6,58.4,,31.8,19.1,44.5,,29.099,16.436,41.761,,91.54,87.747,95.332,,2.677,1.517,3.838,E,0.101,0.057,0.146,E,66,37,96,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, White",Females,7.851,3.661,12.042,,45,E,160,25.8,11.7,39.9,,21.1,10.4,31.8,,18.426,7.698,29.153,,87.263,80.165,94.362,,1.474,0.538,2.41,E,0.056,0.021,0.091,E,37,14,60,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Black",Females,1.042,0.434,1.649,,45,E,1325,3.2,1.7,4.7,,2.8,1.2,4.4,,0.113,-1.499,1.724,,4.025,-58.956,67.007,,0.069,-0.929,1.067,E,0.003,-0.035,0.04,E,2,-23,26,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Arab/South/West Asian",Females,1.339,0.585,2.093,,45,E,800,5.8,2.6,8.9,,3.6,1.6,5.6,,0.913,-1.103,2.928,,25.338,-26.1,76.776,,0.469,-0.547,1.485,E,0.018,-0.021,0.056,E,12,-14,37,E,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, White [reference]",Females,1,,,,1460,,54360,2.7,2.4,3,,2.7,2.4,3,,0,,,,0,,,,0,,,,0,,,,0,,,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Recent immigrant, Total non-White",Females,6.717,4.977,8.456,,365,,2230,16.3,13,19.7,,18.1,14,22.1,,15.374,11.311,19.437,,85.111,81.182,89.04,,12.491,9.479,15.504,,0.473,0.354,0.593,,310,231,389,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-permanent resident, Total non-White",Females,13.671,9.384,17.957,,190,,510,36.3,28.3,44.4,,36.8,26.9,46.6,,34.076,24.201,43.952,,92.685,90.433,94.937,,6.937,4.946,8.927,,0.263,0.189,0.336,,172,124,220,,Census 2021
Children in low income families (according to low income cut-off) ,Children/youth (0-17 years),New Brunswick,Immigrant status by cultural/racial background,"Non-immigrant, Total non-White",Females,1.888,1.371,2.404,,395,,7490,5.2,4,6.5,,5.1,3.8,6.3,,2.387,1.096,3.679,,47.026,31.745,62.308,,7.408,3.565,11.251,,0.281,0.132,0.43,,184,86,282,,Census 2021
