pt,location,year_report,year_birth,age,n_doses,value,age_current
BC,British Columbia,2013,2006,7,2,0.909,19
BC,British Columbia,2014,2007,7,2,0.903,18
BC,British Columbia,2015,2008,7,2,0.902,17
BC,British Columbia,2016,2009,7,2,0.902,16
BC,British Columbia,2017,2010,7,2,0.884,15
BC,British Columbia,2018,2011,7,2,0.821,14
BC,British Columbia,2019,2012,7,2,0.779,13
BC,British Columbia,2020,2013,7,2,0.799,12
BC,British Columbia,2021,2014,7,2,0.802,11
BC,British Columbia,2022,2015,7,2,0.773,10
BC,British Columbia,2023,2016,7,2,0.724,9
NT,Northwest Territories,2023,2021,2,1+,0.85,4
NU,Nunavut,2017,2015,2,1+,0.887,10
NU,Nunavut,2021,2019,2,1+,0.346,6
ON,Ontario,2019,2012,7,0,0.036,13
ON,Ontario,2020,2013,7,0,0.06,12
ON,Ontario,2021,2014,7,0,0.108,11
ON,Ontario,2022,2015,7,0,0.118,10
ON,Ontario,2023,2016,7,0,0.14800000000000002,9
ON,Ontario,2019,2012,7,1,0.103,13
ON,Ontario,2020,2013,7,1,0.266,12
ON,Ontario,2021,2014,7,1,0.236,11
ON,Ontario,2022,2015,7,1,0.184,10
ON,Ontario,2023,2016,7,1,0.14800000000000002,9
ON,Ontario,2019,2012,7,2+,0.861,13
ON,Ontario,2020,2013,7,2+,0.674,12
ON,Ontario,2021,2014,7,2+,0.655,11
ON,Ontario,2022,2015,7,2+,0.698,10
ON,Ontario,2023,2016,7,2+,0.7040000000000001,9
