pt,location,year_report,year_birth,age,n_doses,value,source
NL,Newfoundland and Labrador,2022,NA,2,2,0.947,PT
NL,Newfoundland and Labrador,2022,NA,4,2,0.926,PT
PE,Prince Edward Island,2024,2017,NA,2,0.915,PT
PE,Prince Edward Island,2023,2016,NA,2,0.893,PT
PE,Prince Edward Island,2023,2015,NA,2,0.922,PT
PE,Prince Edward Island,2023,2014,NA,2,0.941,PT
PE,Prince Edward Island,2023,2013,NA,2,0.93,PT
PE,Prince Edward Island,2023,2012,NA,2,0.927,PT
PE,Prince Edward Island,2017,2009,NA,2,0.958,PT
QC,Quebec,2012,NA,1.25,1+,0.909,PT
QC,Quebec,2014,NA,1.25,1+,0.932,PT
QC,Quebec,2016,NA,1.25,1+,0.927,PT
QC,Quebec,2019,NA,1.25,1+,0.949,PT
QC,Quebec,2021,NA,1.25,1+,0.922,PT
QC,Quebec,2012,NA,2,1+,0.958,PT
QC,Quebec,2014,NA,2,1+,0.967,PT
QC,Quebec,2016,NA,2,1+,0.963,PT
QC,Quebec,2019,NA,2,1+,0.971,PT
QC,Quebec,2021,NA,2,1+,0.95,PT
QC,Quebec,2012,NA,2,2+,0.839,PT
QC,Quebec,2014,NA,2,2+,0.886,PT
QC,Quebec,2016,NA,2,2+,0.905,PT
QC,Quebec,2019,NA,2,2+,0.919,PT
QC,Quebec,2021,NA,2,2+,0.886,PT
QC,Quebec,2021,NA,6-11,2+,0.88,PT
QC,Quebec,2021,NA,12-16,2+,0.92,PT
ON,Algoma Public Health,2023,NA,5,2,0.35,PT
ON,Algoma Public Health,2023,NA,6,2,0.4,PT
ON,Algoma Public Health,2023,NA,7,2,0.866,PT
ON,Algoma Public Health,2023,NA,8,2,0.903,PT
ON,Algoma Public Health,2023,NA,9,2,0.885,PT
ON,Algoma Public Health,2023,NA,10,2,0.898,PT
ON,Algoma Public Health,2023,NA,11,2,0.925,PT
ON,Algoma Public Health,2023,NA,12,2,0.927,PT
ON,Algoma Public Health,2023,NA,13,2,0.946,PT
ON,Algoma Public Health,2023,NA,14,2,0.9570000000000001,PT
ON,Algoma Public Health,2023,NA,15,2,0.972,PT
ON,Algoma Public Health,2023,NA,16,2,0.9690000000000001,PT
ON,Algoma Public Health,2023,NA,17,2,0.965,PT
ON,Brant County Health Unit,2023,NA,5,2,0.252,PT
ON,Brant County Health Unit,2023,NA,6,2,0.48200000000000004,PT
ON,Brant County Health Unit,2023,NA,7,2,0.9209999999999999,PT
ON,Brant County Health Unit,2023,NA,8,2,0.922,PT
ON,Brant County Health Unit,2023,NA,9,2,0.9309999999999999,PT
ON,Brant County Health Unit,2023,NA,10,2,0.7070000000000001,PT
ON,Brant County Health Unit,2023,NA,11,2,0.8340000000000001,PT
ON,Brant County Health Unit,2023,NA,12,2,0.903,PT
ON,Brant County Health Unit,2023,NA,13,2,0.91,PT
ON,Brant County Health Unit,2023,NA,14,2,0.894,PT
ON,Brant County Health Unit,2023,NA,15,2,0.9009999999999999,PT
ON,Brant County Health Unit,2023,NA,16,2,0.938,PT
ON,Brant County Health Unit,2023,NA,17,2,0.955,PT
ON,Chatham-Kent Public Health,2023,NA,5,2,0.664,PT
ON,Chatham-Kent Public Health,2023,NA,6,2,0.787,PT
ON,Chatham-Kent Public Health,2023,NA,7,2,0.88,PT
ON,Chatham-Kent Public Health,2023,NA,8,2,0.914,PT
ON,Chatham-Kent Public Health,2023,NA,9,2,0.909,PT
ON,Chatham-Kent Public Health,2023,NA,10,2,0.9279999999999999,PT
ON,Chatham-Kent Public Health,2023,NA,11,2,0.941,PT
ON,Chatham-Kent Public Health,2023,NA,12,2,0.95,PT
ON,Chatham-Kent Public Health,2023,NA,13,2,0.935,PT
ON,Chatham-Kent Public Health,2023,NA,14,2,0.955,PT
ON,Chatham-Kent Public Health,2023,NA,15,2,0.9620000000000001,PT
ON,Chatham-Kent Public Health,2023,NA,16,2,0.953,PT
ON,Chatham-Kent Public Health,2023,NA,17,2,0.9620000000000001,PT
ON,City of Hamilton Public Health Services,2023,NA,5,2,0.327,PT
ON,City of Hamilton Public Health Services,2023,NA,6,2,0.419,PT
ON,City of Hamilton Public Health Services,2023,NA,7,2,0.479,PT
ON,City of Hamilton Public Health Services,2023,NA,8,2,0.64,PT
ON,City of Hamilton Public Health Services,2023,NA,9,2,0.682,PT
ON,City of Hamilton Public Health Services,2023,NA,10,2,0.732,PT
ON,City of Hamilton Public Health Services,2023,NA,11,2,0.8759999999999999,PT
ON,City of Hamilton Public Health Services,2023,NA,12,2,0.9059999999999999,PT
ON,City of Hamilton Public Health Services,2023,NA,13,2,0.919,PT
ON,City of Hamilton Public Health Services,2023,NA,14,2,0.945,PT
ON,City of Hamilton Public Health Services,2023,NA,15,2,0.945,PT
ON,City of Hamilton Public Health Services,2023,NA,16,2,0.9309999999999999,PT
ON,City of Hamilton Public Health Services,2023,NA,17,2,0.92,PT
ON,Durham Region Health Department,2023,NA,5,2,0.363,PT
ON,Durham Region Health Department,2023,NA,6,2,0.395,PT
ON,Durham Region Health Department,2023,NA,7,2,0.867,PT
ON,Durham Region Health Department,2023,NA,8,2,0.708,PT
ON,Durham Region Health Department,2023,NA,9,2,0.7659999999999999,PT
ON,Durham Region Health Department,2023,NA,10,2,0.92,PT
ON,Durham Region Health Department,2023,NA,11,2,0.938,PT
ON,Durham Region Health Department,2023,NA,12,2,0.9329999999999999,PT
ON,Durham Region Health Department,2023,NA,13,2,0.9420000000000001,PT
ON,Durham Region Health Department,2023,NA,14,2,0.955,PT
ON,Durham Region Health Department,2023,NA,15,2,0.958,PT
ON,Durham Region Health Department,2023,NA,16,2,0.956,PT
ON,Durham Region Health Department,2023,NA,17,2,0.956,PT
ON,Eastern Ontario Health Unit,2023,NA,5,2,0.644,PT
ON,Eastern Ontario Health Unit,2023,NA,6,2,0.715,PT
ON,Eastern Ontario Health Unit,2023,NA,7,2,0.894,PT
ON,Eastern Ontario Health Unit,2023,NA,8,2,0.44799999999999995,PT
ON,Eastern Ontario Health Unit,2023,NA,9,2,0.55,PT
ON,Eastern Ontario Health Unit,2023,NA,10,2,0.639,PT
ON,Eastern Ontario Health Unit,2023,NA,11,2,0.862,PT
ON,Eastern Ontario Health Unit,2023,NA,12,2,0.925,PT
ON,Eastern Ontario Health Unit,2023,NA,13,2,0.9159999999999999,PT
ON,Eastern Ontario Health Unit,2023,NA,14,2,0.9059999999999999,PT
ON,Eastern Ontario Health Unit,2023,NA,15,2,0.8740000000000001,PT
ON,Eastern Ontario Health Unit,2023,NA,16,2,0.863,PT
ON,Eastern Ontario Health Unit,2023,NA,17,2,0.919,PT
ON,Grey Bruce Public Health,2023,NA,5,2,0.509,PT
ON,Grey Bruce Public Health,2023,NA,6,2,0.664,PT
ON,Grey Bruce Public Health,2023,NA,7,2,0.8909999999999999,PT
ON,Grey Bruce Public Health,2023,NA,8,2,0.87,PT
ON,Grey Bruce Public Health,2023,NA,9,2,0.892,PT
ON,Grey Bruce Public Health,2023,NA,10,2,0.905,PT
ON,Grey Bruce Public Health,2023,NA,11,2,0.9229999999999999,PT
ON,Grey Bruce Public Health,2023,NA,12,2,0.937,PT
ON,Grey Bruce Public Health,2023,NA,13,2,0.943,PT
ON,Grey Bruce Public Health,2023,NA,14,2,0.961,PT
ON,Grey Bruce Public Health,2023,NA,15,2,0.9590000000000001,PT
ON,Grey Bruce Public Health,2023,NA,16,2,0.95,PT
ON,Grey Bruce Public Health,2023,NA,17,2,0.9590000000000001,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,5,2,0.337,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,6,2,0.507,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,7,2,0.88,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,8,2,0.915,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,9,2,0.659,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,10,2,0.6970000000000001,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,11,2,0.8390000000000001,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,12,2,0.92,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,13,2,0.934,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,14,2,0.856,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,15,2,0.893,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,16,2,0.893,PT
ON,Haldimand-Norfolk Health Unit,2023,NA,17,2,0.762,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,5,2,0.546,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,6,2,0.695,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,7,2,0.89,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,8,2,0.92,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,9,2,0.9259999999999999,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,10,2,0.9390000000000001,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,11,2,0.94,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,12,2,0.963,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,13,2,0.97,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,14,2,0.9620000000000001,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,15,2,0.9690000000000001,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,16,2,0.9640000000000001,PT
ON,"Haliburton, Kawartha, Pine Ridge District Health Unit",2023,NA,17,2,0.9309999999999999,PT
ON,Halton Region Public Health,2023,NA,5,2,0.114,PT
ON,Halton Region Public Health,2023,NA,6,2,0.18600000000000003,PT
ON,Halton Region Public Health,2023,NA,7,2,0.24600000000000002,PT
ON,Halton Region Public Health,2023,NA,8,2,0.303,PT
ON,Halton Region Public Health,2023,NA,9,2,0.385,PT
ON,Halton Region Public Health,2023,NA,10,2,0.35,PT
ON,Halton Region Public Health,2023,NA,11,2,0.782,PT
ON,Halton Region Public Health,2023,NA,12,2,0.861,PT
ON,Halton Region Public Health,2023,NA,13,2,0.9,PT
ON,Halton Region Public Health,2023,NA,14,2,0.914,PT
ON,Halton Region Public Health,2023,NA,15,2,0.903,PT
ON,Halton Region Public Health,2023,NA,16,2,0.955,PT
ON,Halton Region Public Health,2023,NA,17,2,0.948,PT
ON,Hastings Prince Edward Public Health,2023,NA,5,2,0.49,PT
ON,Hastings Prince Edward Public Health,2023,NA,6,2,0.644,PT
ON,Hastings Prince Edward Public Health,2023,NA,7,2,0.929,PT
ON,Hastings Prince Edward Public Health,2023,NA,8,2,0.943,PT
ON,Hastings Prince Edward Public Health,2023,NA,9,2,0.937,PT
ON,Hastings Prince Edward Public Health,2023,NA,10,2,0.948,PT
ON,Hastings Prince Edward Public Health,2023,NA,11,2,0.951,PT
ON,Hastings Prince Edward Public Health,2023,NA,12,2,0.96,PT
ON,Hastings Prince Edward Public Health,2023,NA,13,2,0.9590000000000001,PT
ON,Hastings Prince Edward Public Health,2023,NA,14,2,0.958,PT
ON,Hastings Prince Edward Public Health,2023,NA,15,2,0.9540000000000001,PT
ON,Hastings Prince Edward Public Health,2023,NA,16,2,0.9640000000000001,PT
ON,Hastings Prince Edward Public Health,2023,NA,17,2,0.972,PT
ON,Huron Perth Public Health,2023,NA,5,2,0.65,PT
ON,Huron Perth Public Health,2023,NA,6,2,0.746,PT
ON,Huron Perth Public Health,2023,NA,7,2,0.907,PT
ON,Huron Perth Public Health,2023,NA,8,2,0.91,PT
ON,Huron Perth Public Health,2023,NA,9,2,0.9279999999999999,PT
ON,Huron Perth Public Health,2023,NA,10,2,0.925,PT
ON,Huron Perth Public Health,2023,NA,11,2,0.932,PT
ON,Huron Perth Public Health,2023,NA,12,2,0.938,PT
ON,Huron Perth Public Health,2023,NA,13,2,0.945,PT
ON,Huron Perth Public Health,2023,NA,14,2,0.9440000000000001,PT
ON,Huron Perth Public Health,2023,NA,15,2,0.9470000000000001,PT
ON,Huron Perth Public Health,2023,NA,16,2,0.9570000000000001,PT
ON,Huron Perth Public Health,2023,NA,17,2,0.9540000000000001,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,5,2,0.731,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,6,2,0.7759999999999999,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,7,2,0.965,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,8,2,0.975,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,9,2,0.975,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,10,2,0.975,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,11,2,0.977,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,12,2,0.976,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,13,2,0.977,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,14,2,0.982,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,15,2,0.981,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,16,2,0.975,PT
ON,"Kingston, Frontenac and Lennox & Addington Public Health",2023,NA,17,2,0.977,PT
ON,Lambton Public Health,2023,NA,5,2,0.636,PT
ON,Lambton Public Health,2023,NA,6,2,0.728,PT
ON,Lambton Public Health,2023,NA,7,2,0.9,PT
ON,Lambton Public Health,2023,NA,8,2,0.9179999999999999,PT
ON,Lambton Public Health,2023,NA,9,2,0.905,PT
ON,Lambton Public Health,2023,NA,10,2,0.9279999999999999,PT
ON,Lambton Public Health,2023,NA,11,2,0.9520000000000001,PT
ON,Lambton Public Health,2023,NA,12,2,0.96,PT
ON,Lambton Public Health,2023,NA,13,2,0.958,PT
ON,Lambton Public Health,2023,NA,14,2,0.97,PT
ON,Lambton Public Health,2023,NA,15,2,0.963,PT
ON,Lambton Public Health,2023,NA,16,2,0.961,PT
ON,Lambton Public Health,2023,NA,17,2,0.965,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,5,2,0.45799999999999996,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,6,2,0.353,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,7,2,0.672,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,8,2,0.6970000000000001,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,9,2,0.718,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,10,2,0.7390000000000001,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,11,2,0.816,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,12,2,0.932,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,13,2,0.9309999999999999,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,14,2,0.93,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,15,2,0.943,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,16,2,0.92,PT
ON,"Leeds, Grenville & Lanark District Health Unit",2023,NA,17,2,0.894,PT
ON,Middlesex-London Health Unit,2023,NA,5,2,0.591,PT
ON,Middlesex-London Health Unit,2023,NA,6,2,0.6970000000000001,PT
ON,Middlesex-London Health Unit,2023,NA,7,2,0.895,PT
ON,Middlesex-London Health Unit,2023,NA,8,2,0.919,PT
ON,Middlesex-London Health Unit,2023,NA,9,2,0.924,PT
ON,Middlesex-London Health Unit,2023,NA,10,2,0.9259999999999999,PT
ON,Middlesex-London Health Unit,2023,NA,11,2,0.9440000000000001,PT
ON,Middlesex-London Health Unit,2023,NA,12,2,0.946,PT
ON,Middlesex-London Health Unit,2023,NA,13,2,0.9520000000000001,PT
ON,Middlesex-London Health Unit,2023,NA,14,2,0.958,PT
ON,Middlesex-London Health Unit,2023,NA,15,2,0.9570000000000001,PT
ON,Middlesex-London Health Unit,2023,NA,16,2,0.937,PT
ON,Middlesex-London Health Unit,2023,NA,17,2,0.941,PT
ON,Niagara Region Public Health,2023,NA,5,2,0.5710000000000001,PT
ON,Niagara Region Public Health,2023,NA,6,2,0.631,PT
ON,Niagara Region Public Health,2023,NA,7,2,0.855,PT
ON,Niagara Region Public Health,2023,NA,8,2,0.903,PT
ON,Niagara Region Public Health,2023,NA,9,2,0.9129999999999999,PT
ON,Niagara Region Public Health,2023,NA,10,2,0.924,PT
ON,Niagara Region Public Health,2023,NA,11,2,0.9259999999999999,PT
ON,Niagara Region Public Health,2023,NA,12,2,0.937,PT
ON,Niagara Region Public Health,2023,NA,13,2,0.945,PT
ON,Niagara Region Public Health,2023,NA,14,2,0.9440000000000001,PT
ON,Niagara Region Public Health,2023,NA,15,2,0.938,PT
ON,Niagara Region Public Health,2023,NA,16,2,0.943,PT
ON,Niagara Region Public Health,2023,NA,17,2,0.943,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,5,2,0.594,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,6,2,0.74,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,7,2,0.924,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,8,2,0.9359999999999999,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,9,2,0.9540000000000001,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,10,2,0.948,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,11,2,0.9490000000000001,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,12,2,0.956,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,13,2,0.961,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,14,2,0.968,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,15,2,0.956,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,16,2,0.961,PT
ON,North Bay Parry Sound District Health Unit,2023,NA,17,2,0.9740000000000001,PT
ON,Northwestern Health Unit,2023,NA,5,2,0.86,PT
ON,Northwestern Health Unit,2023,NA,6,2,0.912,PT
ON,Northwestern Health Unit,2023,NA,7,2,0.935,PT
ON,Northwestern Health Unit,2023,NA,8,2,0.953,PT
ON,Northwestern Health Unit,2023,NA,9,2,0.965,PT
ON,Northwestern Health Unit,2023,NA,10,2,0.9740000000000001,PT
ON,Northwestern Health Unit,2023,NA,11,2,0.97,PT
ON,Northwestern Health Unit,2023,NA,12,2,0.975,PT
ON,Northwestern Health Unit,2023,NA,13,2,0.981,PT
ON,Northwestern Health Unit,2023,NA,14,2,0.977,PT
ON,Northwestern Health Unit,2023,NA,15,2,0.9790000000000001,PT
ON,Northwestern Health Unit,2023,NA,16,2,0.977,PT
ON,Northwestern Health Unit,2023,NA,17,2,0.97,PT
ON,Ontario,2023,NA,5,2,0.377,PT
ON,Ontario,2023,NA,6,2,0.45,PT
ON,Ontario,2023,NA,7,2,0.7040000000000001,PT
ON,Ontario,2023,NA,8,2,0.711,PT
ON,Ontario,2023,NA,9,2,0.693,PT
ON,Ontario,2023,NA,10,2,0.696,PT
ON,Ontario,2023,NA,11,2,0.83,PT
ON,Ontario,2023,NA,12,2,0.8909999999999999,PT
ON,Ontario,2023,NA,13,2,0.905,PT
ON,Ontario,2023,NA,14,2,0.915,PT
ON,Ontario,2023,NA,15,2,0.909,PT
ON,Ontario,2023,NA,16,2,0.909,PT
ON,Ontario,2023,NA,17,2,0.9159999999999999,PT
ON,Ottawa Public Health,2023,NA,5,2,0.299,PT
ON,Ottawa Public Health,2023,NA,6,2,0.321,PT
ON,Ottawa Public Health,2023,NA,7,2,0.64,PT
ON,Ottawa Public Health,2023,NA,8,2,0.7859999999999999,PT
ON,Ottawa Public Health,2023,NA,9,2,0.596,PT
ON,Ottawa Public Health,2023,NA,10,2,0.625,PT
ON,Ottawa Public Health,2023,NA,11,2,0.7979999999999999,PT
ON,Ottawa Public Health,2023,NA,12,2,0.8809999999999999,PT
ON,Ottawa Public Health,2023,NA,13,2,0.892,PT
ON,Ottawa Public Health,2023,NA,14,2,0.899,PT
ON,Ottawa Public Health,2023,NA,15,2,0.894,PT
ON,Ottawa Public Health,2023,NA,16,2,0.887,PT
ON,Ottawa Public Health,2023,NA,17,2,0.903,PT
ON,Peel Public Health,2023,NA,5,2,0.39,PT
ON,Peel Public Health,2023,NA,6,2,0.47,PT
ON,Peel Public Health,2023,NA,7,2,0.35700000000000004,PT
ON,Peel Public Health,2023,NA,8,2,0.595,PT
ON,Peel Public Health,2023,NA,9,2,0.622,PT
ON,Peel Public Health,2023,NA,10,2,0.38299999999999995,PT
ON,Peel Public Health,2023,NA,11,2,0.7140000000000001,PT
ON,Peel Public Health,2023,NA,12,2,0.853,PT
ON,Peel Public Health,2023,NA,13,2,0.883,PT
ON,Peel Public Health,2023,NA,14,2,0.882,PT
ON,Peel Public Health,2023,NA,15,2,0.889,PT
ON,Peel Public Health,2023,NA,16,2,0.8909999999999999,PT
ON,Peel Public Health,2023,NA,17,2,0.8959999999999999,PT
ON,Peterborough Public Health,2023,NA,5,2,0.504,PT
ON,Peterborough Public Health,2023,NA,6,2,0.586,PT
ON,Peterborough Public Health,2023,NA,7,2,0.9209999999999999,PT
ON,Peterborough Public Health,2023,NA,8,2,0.722,PT
ON,Peterborough Public Health,2023,NA,9,2,0.875,PT
ON,Peterborough Public Health,2023,NA,10,2,0.813,PT
ON,Peterborough Public Health,2023,NA,11,2,0.835,PT
ON,Peterborough Public Health,2023,NA,12,2,0.9440000000000001,PT
ON,Peterborough Public Health,2023,NA,13,2,0.94,PT
ON,Peterborough Public Health,2023,NA,14,2,0.9359999999999999,PT
ON,Peterborough Public Health,2023,NA,15,2,0.95,PT
ON,Peterborough Public Health,2023,NA,16,2,0.943,PT
ON,Peterborough Public Health,2023,NA,17,2,0.948,PT
ON,Porcupine Health Unit,2023,NA,5,2,0.774,PT
ON,Porcupine Health Unit,2023,NA,6,2,0.84,PT
ON,Porcupine Health Unit,2023,NA,7,2,0.9109999999999999,PT
ON,Porcupine Health Unit,2023,NA,8,2,0.9279999999999999,PT
ON,Porcupine Health Unit,2023,NA,9,2,0.941,PT
ON,Porcupine Health Unit,2023,NA,10,2,0.941,PT
ON,Porcupine Health Unit,2023,NA,11,2,0.953,PT
ON,Porcupine Health Unit,2023,NA,12,2,0.963,PT
ON,Porcupine Health Unit,2023,NA,13,2,0.955,PT
ON,Porcupine Health Unit,2023,NA,14,2,0.961,PT
ON,Porcupine Health Unit,2023,NA,15,2,0.966,PT
ON,Porcupine Health Unit,2023,NA,16,2,0.982,PT
ON,Porcupine Health Unit,2023,NA,17,2,0.9790000000000001,PT
ON,Public Health Sudbury & Districts,2023,NA,5,2,0.636,PT
ON,Public Health Sudbury & Districts,2023,NA,6,2,0.664,PT
ON,Public Health Sudbury & Districts,2023,NA,7,2,0.762,PT
ON,Public Health Sudbury & Districts,2023,NA,8,2,0.9079999999999999,PT
ON,Public Health Sudbury & Districts,2023,NA,9,2,0.912,PT
ON,Public Health Sudbury & Districts,2023,NA,10,2,0.929,PT
ON,Public Health Sudbury & Districts,2023,NA,11,2,0.9440000000000001,PT
ON,Public Health Sudbury & Districts,2023,NA,12,2,0.958,PT
ON,Public Health Sudbury & Districts,2023,NA,13,2,0.961,PT
ON,Public Health Sudbury & Districts,2023,NA,14,2,0.976,PT
ON,Public Health Sudbury & Districts,2023,NA,15,2,0.978,PT
ON,Public Health Sudbury & Districts,2023,NA,16,2,0.975,PT
ON,Public Health Sudbury & Districts,2023,NA,17,2,0.978,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,5,2,0.6409999999999999,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,6,2,0.746,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,7,2,0.8540000000000001,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,8,2,0.875,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,9,2,0.893,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,10,2,0.9009999999999999,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,11,2,0.917,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,12,2,0.9259999999999999,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,13,2,0.934,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,14,2,0.9520000000000001,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,15,2,0.948,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,16,2,0.951,PT
ON,Region of Waterloo Public Health and Paramedic Services,2023,NA,17,2,0.943,PT
ON,Renfrew County and District Health Unit,2023,NA,5,2,0.532,PT
ON,Renfrew County and District Health Unit,2023,NA,6,2,0.684,PT
ON,Renfrew County and District Health Unit,2023,NA,7,2,0.825,PT
ON,Renfrew County and District Health Unit,2023,NA,8,2,0.843,PT
ON,Renfrew County and District Health Unit,2023,NA,9,2,0.878,PT
ON,Renfrew County and District Health Unit,2023,NA,10,2,0.895,PT
ON,Renfrew County and District Health Unit,2023,NA,11,2,0.9390000000000001,PT
ON,Renfrew County and District Health Unit,2023,NA,12,2,0.961,PT
ON,Renfrew County and District Health Unit,2023,NA,13,2,0.968,PT
ON,Renfrew County and District Health Unit,2023,NA,14,2,0.972,PT
ON,Renfrew County and District Health Unit,2023,NA,15,2,0.956,PT
ON,Renfrew County and District Health Unit,2023,NA,16,2,0.9690000000000001,PT
ON,Renfrew County and District Health Unit,2023,NA,17,2,0.973,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,5,2,0.39899999999999997,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,6,2,0.501,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,7,2,0.5429999999999999,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,8,2,0.616,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,9,2,0.6509999999999999,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,10,2,0.682,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,11,2,0.904,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,12,2,0.912,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,13,2,0.922,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,14,2,0.904,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,15,2,0.932,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,16,2,0.946,PT
ON,Simcoe Muskoka District Health Unit,2023,NA,17,2,0.955,PT
ON,Southwestern Public Health,2023,NA,5,2,0.506,PT
ON,Southwestern Public Health,2023,NA,6,2,0.632,PT
ON,Southwestern Public Health,2023,NA,7,2,0.878,PT
ON,Southwestern Public Health,2023,NA,8,2,0.8909999999999999,PT
ON,Southwestern Public Health,2023,NA,9,2,0.9009999999999999,PT
ON,Southwestern Public Health,2023,NA,10,2,0.8959999999999999,PT
ON,Southwestern Public Health,2023,NA,11,2,0.9079999999999999,PT
ON,Southwestern Public Health,2023,NA,12,2,0.914,PT
ON,Southwestern Public Health,2023,NA,13,2,0.917,PT
ON,Southwestern Public Health,2023,NA,14,2,0.9159999999999999,PT
ON,Southwestern Public Health,2023,NA,15,2,0.922,PT
ON,Southwestern Public Health,2023,NA,16,2,0.9309999999999999,PT
ON,Southwestern Public Health,2023,NA,17,2,0.935,PT
ON,Thunder Bay District Health Unit,2023,NA,5,2,0.542,PT
ON,Thunder Bay District Health Unit,2023,NA,6,2,0.6579999999999999,PT
ON,Thunder Bay District Health Unit,2023,NA,7,2,0.873,PT
