pt,location,year_report,year_birth,age,n_doses,value,age_current
AB,Alberta,2023,2021,2,1+,0.8167,4
AB,Alberta,2022,2020,2,1+,0.8207,5
AB,Alberta,2021,2019,2,1,0.8320000000000001,6
AB,Alberta,2020,2018,2,1,0.8665,7
AB,Alberta,2019,2017,2,1,0.8696,8
AB,Alberta,2023,2016,7,2,0.7263000000000001,9
AB,Alberta,2022,2015,7,2,0.7408,10
AB,Alberta,2021,2014,7,2,0.7473000000000001,11
AB,Alberta,2020,2013,7,2,0.7760000000000001,12
AB,Alberta,2019,2012,7,2,0.8172,13
AB,Alberta,2018,2011,7,2,0.8108,14
AB,Alberta,2023,2010,13,1+,0.9495,15
AB,Alberta,2022,2009,13,1+,0.9525,16
AB,Alberta,2021,2008,13,1+,0.9564,17
AB,Alberta,2020,2007,13,1+,0.963,18
AB,Alberta,2023,2006,17,1+,0.9727,19
AB,Alberta,2022,2005,17,1+,0.9783000000000002,20
AB,Alberta,2021,2004,17,1+,0.9784000000000002,21
AB,Alberta,2020,2003,17,1+,0.9775,22
AB,Alberta,2019,2002,17,1+,0.9722,23
AB,Alberta,2018,2001,17,1+,0.9703,24
AB,Alberta,2017,2000,17,1+,0.9694000000000002,25
AB,Alberta,2016,1999,17,1+,0.9671,26
AB,Alberta,2015,1998,17,1+,0.9651,27
AB,Alberta,2014,1997,17,1+,0.9623,28
BC,British Columbia,2023,2021,2,1,0.817,4
BC,British Columbia,2022,2020,2,1,0.825,5
BC,British Columbia,2021,2019,2,1,0.834,6
BC,British Columbia,2020,2018,2,1,0.858,7
BC,British Columbia,2019,2017,2,1,0.877,8
BC,British Columbia,2023,2016,7,2,0.724,9
BC,British Columbia,2022,2015,7,2,0.773,10
BC,British Columbia,2021,2014,7,2,0.802,11
BC,British Columbia,2020,2013,7,2,0.799,12
BC,British Columbia,2019,2012,7,2,0.779,13
BC,British Columbia,2018,2011,7,2,0.821,14
BC,British Columbia,2017,2010,7,2,0.884,15
BC,British Columbia,2016,2009,7,2,0.902,16
BC,British Columbia,2015,2008,7,2,0.902,17
BC,British Columbia,2014,2007,7,2,0.903,18
BC,British Columbia,2013,2006,7,2,0.909,19
MB,Manitoba,2023,2021,2,1,0.799,4
MB,Manitoba,2023,2016,7,2,0.654,9
MB,Manitoba,2023,2010,13,2,0.772,15
MB,Manitoba,2023,2006,17,2,0.773,19
NL,Newfoundland and Labrador,2022,2020,2,2,0.947,5
NL,Newfoundland and Labrador,2022,2018,4,2,0.926,7
NS,Nova Scotia,2021,2019,2,1+,0.936,6
NS,Nova Scotia,2017,2015,2,1+,0.871,10
NT,Northwest Territories,2023,2021,2,1+,0.85,4
NU,Nunavut,2021,2019,2,1+,0.346,6
NU,Nunavut,2017,2015,2,1+,0.887,10
ON,Ontario,2023,2016,7,1+,0.8520000000000001,9
ON,Ontario,2022,2015,7,1+,0.8819999999999999,10
ON,Ontario,2021,2014,7,1+,0.891,11
ON,Ontario,2020,2013,7,1+,0.9400000000000001,12
ON,Ontario,2019,2012,7,1+,0.964,13
PE,Prince Edward Island,2024,2017,7,2,0.915,8
PE,Prince Edward Island,2023,2016,7,2,0.893,9
PE,Prince Edward Island,2023,2015,8,2,0.922,10
PE,Prince Edward Island,2023,2014,9,2,0.941,11
PE,Prince Edward Island,2023,2013,10,2,0.93,12
PE,Prince Edward Island,2023,2012,11,2,0.927,13
PE,Prince Edward Island,2017,2009,8,2,0.958,16
QC,Quebec,2021,2019,2,1+,0.95,6
QC,Quebec,2019,2017,2,1+,0.971,8
QC,Quebec,2021,2015,6,2,0.88,10
QC,Quebec,2021,2014,7,2,0.88,11
QC,Quebec,2021,2013,8,2,0.88,12
QC,Quebec,2021,2012,9,2,0.88,13
QC,Quebec,2021,2011,10,2,0.88,14
QC,Quebec,2021,2010,11,2,0.88,15
QC,Quebec,2021,2009,12,2,0.92,16
QC,Quebec,2021,2008,13,2,0.92,17
QC,Quebec,2021,2007,14,2,0.92,18
QC,Quebec,2021,2006,15,2,0.92,19
QC,Quebec,2021,2005,16,2,0.92,20
AB,Alberta,2023,1996,27,1+,0.893,29
AB,Alberta,2023,1995,28,1+,0.893,30
AB,Alberta,2023,1994,29,1+,0.893,31
AB,Alberta,2023,1993,30,1+,0.893,32
AB,Alberta,2023,1992,31,1+,0.893,33
AB,Alberta,2023,1991,32,1+,0.893,34
AB,Alberta,2023,1990,33,1+,0.893,35
AB,Alberta,2023,1989,34,1+,0.893,36
AB,Alberta,2023,1988,35,1+,0.893,37
AB,Alberta,2023,1987,36,1+,0.893,38
AB,Alberta,2023,1986,37,1+,0.893,39
AB,Alberta,2023,1985,38,1+,0.893,40
AB,Alberta,2023,1984,39,1+,0.893,41
AB,Alberta,2023,1983,40,1+,0.893,42
AB,Alberta,2023,1982,41,1+,0.893,43
AB,Alberta,2023,1981,42,1+,0.893,44
AB,Alberta,2023,1980,43,1+,0.893,45
AB,Alberta,2023,1979,44,1+,0.893,46
AB,Alberta,2023,1978,45,1+,0.893,47
AB,Alberta,2023,1977,46,1+,0.893,48
AB,Alberta,2023,1976,47,1+,0.893,49
AB,Alberta,2023,1975,48,1+,0.893,50
AB,Alberta,2023,1974,49,1+,0.893,51
AB,Alberta,2023,1973,50,1+,0.893,52
AB,Alberta,2023,1972,51,1+,0.893,53
AB,Alberta,2023,1971,52,1+,0.893,54
AB,Alberta,2023,1970,53,1+,0.893,55
BC,British Columbia,2023,2005,18,1+,0.867,20
BC,British Columbia,2023,2004,19,1+,0.867,21
BC,British Columbia,2023,2003,20,1+,0.867,22
BC,British Columbia,2023,2002,21,1+,0.867,23
BC,British Columbia,2023,2001,22,1+,0.867,24
BC,British Columbia,2023,2000,23,1+,0.867,25
BC,British Columbia,2023,1999,24,1+,0.867,26
BC,British Columbia,2023,1998,25,1+,0.867,27
BC,British Columbia,2023,1997,26,1+,0.867,28
BC,British Columbia,2023,1996,27,1+,0.867,29
BC,British Columbia,2023,1995,28,1+,0.867,30
BC,British Columbia,2023,1994,29,1+,0.867,31
BC,British Columbia,2023,1993,30,1+,0.867,32
BC,British Columbia,2023,1992,31,1+,0.867,33
BC,British Columbia,2023,1991,32,1+,0.867,34
BC,British Columbia,2023,1990,33,1+,0.867,35
BC,British Columbia,2023,1989,34,1+,0.867,36
BC,British Columbia,2023,1988,35,1+,0.867,37
BC,British Columbia,2023,1987,36,1+,0.867,38
BC,British Columbia,2023,1986,37,1+,0.867,39
BC,British Columbia,2023,1985,38,1+,0.867,40
BC,British Columbia,2023,1984,39,1+,0.867,41
BC,British Columbia,2023,1983,40,1+,0.867,42
BC,British Columbia,2023,1982,41,1+,0.867,43
BC,British Columbia,2023,1981,42,1+,0.867,44
BC,British Columbia,2023,1980,43,1+,0.867,45
BC,British Columbia,2023,1979,44,1+,0.867,46
BC,British Columbia,2023,1978,45,1+,0.867,47
BC,British Columbia,2023,1977,46,1+,0.867,48
BC,British Columbia,2023,1976,47,1+,0.867,49
BC,British Columbia,2023,1975,48,1+,0.867,50
BC,British Columbia,2023,1974,49,1+,0.867,51
BC,British Columbia,2023,1973,50,1+,0.867,52
BC,British Columbia,2023,1972,51,1+,0.867,53
BC,British Columbia,2023,1971,52,1+,0.867,54
BC,British Columbia,2023,1970,53,1+,0.867,55
MB,Manitoba,2023,2005,18,1+,0.874,20
MB,Manitoba,2023,2004,19,1+,0.874,21
MB,Manitoba,2023,2003,20,1+,0.874,22
MB,Manitoba,2023,2002,21,1+,0.874,23
MB,Manitoba,2023,2001,22,1+,0.874,24
MB,Manitoba,2023,2000,23,1+,0.874,25
MB,Manitoba,2023,1999,24,1+,0.874,26
MB,Manitoba,2023,1998,25,1+,0.874,27
MB,Manitoba,2023,1997,26,1+,0.874,28
MB,Manitoba,2023,1996,27,1+,0.874,29
MB,Manitoba,2023,1995,28,1+,0.874,30
MB,Manitoba,2023,1994,29,1+,0.874,31
MB,Manitoba,2023,1993,30,1+,0.874,32
MB,Manitoba,2023,1992,31,1+,0.874,33
MB,Manitoba,2023,1991,32,1+,0.874,34
MB,Manitoba,2023,1990,33,1+,0.874,35
MB,Manitoba,2023,1989,34,1+,0.874,36
MB,Manitoba,2023,1988,35,1+,0.874,37
MB,Manitoba,2023,1987,36,1+,0.874,38
MB,Manitoba,2023,1986,37,1+,0.874,39
MB,Manitoba,2023,1985,38,1+,0.874,40
MB,Manitoba,2023,1984,39,1+,0.874,41
MB,Manitoba,2023,1983,40,1+,0.874,42
MB,Manitoba,2023,1982,41,1+,0.874,43
MB,Manitoba,2023,1981,42,1+,0.874,44
MB,Manitoba,2023,1980,43,1+,0.874,45
MB,Manitoba,2023,1979,44,1+,0.874,46
MB,Manitoba,2023,1978,45,1+,0.874,47
MB,Manitoba,2023,1977,46,1+,0.874,48
MB,Manitoba,2023,1976,47,1+,0.874,49
MB,Manitoba,2023,1975,48,1+,0.874,50
MB,Manitoba,2023,1974,49,1+,0.874,51
MB,Manitoba,2023,1973,50,1+,0.874,52
MB,Manitoba,2023,1972,51,1+,0.874,53
MB,Manitoba,2023,1971,52,1+,0.874,54
MB,Manitoba,2023,1970,53,1+,0.874,55
NB,New Brunswick,2023,2005,18,1+,0.858,20
NB,New Brunswick,2023,2004,19,1+,0.858,21
NB,New Brunswick,2023,2003,20,1+,0.858,22
NB,New Brunswick,2023,2002,21,1+,0.858,23
NB,New Brunswick,2023,2001,22,1+,0.858,24
NB,New Brunswick,2023,2000,23,1+,0.858,25
NB,New Brunswick,2023,1999,24,1+,0.858,26
NB,New Brunswick,2023,1998,25,1+,0.858,27
NB,New Brunswick,2023,1997,26,1+,0.858,28
NB,New Brunswick,2023,1996,27,1+,0.858,29
NB,New Brunswick,2023,1995,28,1+,0.858,30
NB,New Brunswick,2023,1994,29,1+,0.858,31
NB,New Brunswick,2023,1993,30,1+,0.858,32
NB,New Brunswick,2023,1992,31,1+,0.858,33
NB,New Brunswick,2023,1991,32,1+,0.858,34
NB,New Brunswick,2023,1990,33,1+,0.858,35
NB,New Brunswick,2023,1989,34,1+,0.858,36
NB,New Brunswick,2023,1988,35,1+,0.858,37
NB,New Brunswick,2023,1987,36,1+,0.858,38
NB,New Brunswick,2023,1986,37,1+,0.858,39
NB,New Brunswick,2023,1985,38,1+,0.858,40
NB,New Brunswick,2023,1984,39,1+,0.858,41
NB,New Brunswick,2023,1983,40,1+,0.858,42
NB,New Brunswick,2023,1982,41,1+,0.858,43
NB,New Brunswick,2023,1981,42,1+,0.858,44
NB,New Brunswick,2023,1980,43,1+,0.858,45
NB,New Brunswick,2023,1979,44,1+,0.858,46
NB,New Brunswick,2023,1978,45,1+,0.858,47
NB,New Brunswick,2023,1977,46,1+,0.858,48
NB,New Brunswick,2023,1976,47,1+,0.858,49
NB,New Brunswick,2023,1975,48,1+,0.858,50
NB,New Brunswick,2023,1974,49,1+,0.858,51
NB,New Brunswick,2023,1973,50,1+,0.858,52
NB,New Brunswick,2023,1972,51,1+,0.858,53
NB,New Brunswick,2023,1971,52,1+,0.858,54
NB,New Brunswick,2023,1970,53,1+,0.858,55
NL,Newfoundland and Labrador,2023,2005,18,1+,0.897,20
NL,Newfoundland and Labrador,2023,2004,19,1+,0.897,21
NL,Newfoundland and Labrador,2023,2003,20,1+,0.897,22
NL,Newfoundland and Labrador,2023,2002,21,1+,0.897,23
NL,Newfoundland and Labrador,2023,2001,22,1+,0.897,24
NL,Newfoundland and Labrador,2023,2000,23,1+,0.897,25
NL,Newfoundland and Labrador,2023,1999,24,1+,0.897,26
NL,Newfoundland and Labrador,2023,1998,25,1+,0.897,27
NL,Newfoundland and Labrador,2023,1997,26,1+,0.897,28
NL,Newfoundland and Labrador,2023,1996,27,1+,0.897,29
NL,Newfoundland and Labrador,2023,1995,28,1+,0.897,30
NL,Newfoundland and Labrador,2023,1994,29,1+,0.897,31
NL,Newfoundland and Labrador,2023,1993,30,1+,0.897,32
NL,Newfoundland and Labrador,2023,1992,31,1+,0.897,33
NL,Newfoundland and Labrador,2023,1991,32,1+,0.897,34
NL,Newfoundland and Labrador,2023,1990,33,1+,0.897,35
NL,Newfoundland and Labrador,2023,1989,34,1+,0.897,36
NL,Newfoundland and Labrador,2023,1988,35,1+,0.897,37
NL,Newfoundland and Labrador,2023,1987,36,1+,0.897,38
NL,Newfoundland and Labrador,2023,1986,37,1+,0.897,39
NL,Newfoundland and Labrador,2023,1985,38,1+,0.897,40
NL,Newfoundland and Labrador,2023,1984,39,1+,0.897,41
NL,Newfoundland and Labrador,2023,1983,40,1+,0.897,42
NL,Newfoundland and Labrador,2023,1982,41,1+,0.897,43
NL,Newfoundland and Labrador,2023,1981,42,1+,0.897,44
NL,Newfoundland and Labrador,2023,1980,43,1+,0.897,45
NL,Newfoundland and Labrador,2023,1979,44,1+,0.897,46
NL,Newfoundland and Labrador,2023,1978,45,1+,0.897,47
NL,Newfoundland and Labrador,2023,1977,46,1+,0.897,48
NL,Newfoundland and Labrador,2023,1976,47,1+,0.897,49
NL,Newfoundland and Labrador,2023,1975,48,1+,0.897,50
NL,Newfoundland and Labrador,2023,1974,49,1+,0.897,51
NL,Newfoundland and Labrador,2023,1973,50,1+,0.897,52
NL,Newfoundland and Labrador,2023,1972,51,1+,0.897,53
NL,Newfoundland and Labrador,2023,1971,52,1+,0.897,54
NL,Newfoundland and Labrador,2023,1970,53,1+,0.897,55
NS,Nova Scotia,2023,2005,18,1+,0.887,20
NS,Nova Scotia,2023,2004,19,1+,0.887,21
NS,Nova Scotia,2023,2003,20,1+,0.887,22
NS,Nova Scotia,2023,2002,21,1+,0.887,23
NS,Nova Scotia,2023,2001,22,1+,0.887,24
NS,Nova Scotia,2023,2000,23,1+,0.887,25
NS,Nova Scotia,2023,1999,24,1+,0.887,26
NS,Nova Scotia,2023,1998,25,1+,0.887,27
NS,Nova Scotia,2023,1997,26,1+,0.887,28
NS,Nova Scotia,2023,1996,27,1+,0.887,29
NS,Nova Scotia,2023,1995,28,1+,0.887,30
NS,Nova Scotia,2023,1994,29,1+,0.887,31
NS,Nova Scotia,2023,1993,30,1+,0.887,32
NS,Nova Scotia,2023,1992,31,1+,0.887,33
NS,Nova Scotia,2023,1991,32,1+,0.887,34
NS,Nova Scotia,2023,1990,33,1+,0.887,35
NS,Nova Scotia,2023,1989,34,1+,0.887,36
NS,Nova Scotia,2023,1988,35,1+,0.887,37
NS,Nova Scotia,2023,1987,36,1+,0.887,38
NS,Nova Scotia,2023,1986,37,1+,0.887,39
NS,Nova Scotia,2023,1985,38,1+,0.887,40
NS,Nova Scotia,2023,1984,39,1+,0.887,41
NS,Nova Scotia,2023,1983,40,1+,0.887,42
NS,Nova Scotia,2023,1982,41,1+,0.887,43
NS,Nova Scotia,2023,1981,42,1+,0.887,44
NS,Nova Scotia,2023,1980,43,1+,0.887,45
NS,Nova Scotia,2023,1979,44,1+,0.887,46
NS,Nova Scotia,2023,1978,45,1+,0.887,47
NS,Nova Scotia,2023,1977,46,1+,0.887,48
NS,Nova Scotia,2023,1976,47,1+,0.887,49
NS,Nova Scotia,2023,1975,48,1+,0.887,50
NS,Nova Scotia,2023,1974,49,1+,0.887,51
NS,Nova Scotia,2023,1973,50,1+,0.887,52
NS,Nova Scotia,2023,1972,51,1+,0.887,53
NS,Nova Scotia,2023,1971,52,1+,0.887,54
NS,Nova Scotia,2023,1970,53,1+,0.887,55
NT,Northwest Territories,2023,2005,18,1+,0.864,20
NT,Northwest Territories,2023,2004,19,1+,0.864,21
NT,Northwest Territories,2023,2003,20,1+,0.864,22
NT,Northwest Territories,2023,2002,21,1+,0.864,23
NT,Northwest Territories,2023,2001,22,1+,0.864,24
NT,Northwest Territories,2023,2000,23,1+,0.864,25
NT,Northwest Territories,2023,1999,24,1+,0.864,26
NT,Northwest Territories,2023,1998,25,1+,0.864,27
NT,Northwest Territories,2023,1997,26,1+,0.864,28
NT,Northwest Territories,2023,1996,27,1+,0.864,29
NT,Northwest Territories,2023,1995,28,1+,0.864,30
NT,Northwest Territories,2023,1994,29,1+,0.864,31
NT,Northwest Territories,2023,1993,30,1+,0.864,32
NT,Northwest Territories,2023,1992,31,1+,0.864,33
NT,Northwest Territories,2023,1991,32,1+,0.864,34
NT,Northwest Territories,2023,1990,33,1+,0.864,35
NT,Northwest Territories,2023,1989,34,1+,0.864,36
NT,Northwest Territories,2023,1988,35,1+,0.864,37
NT,Northwest Territories,2023,1987,36,1+,0.864,38
NT,Northwest Territories,2023,1986,37,1+,0.864,39
NT,Northwest Territories,2023,1985,38,1+,0.864,40
NT,Northwest Territories,2023,1984,39,1+,0.864,41
