model_no,k_name,l1,l2,b,meas_error,lppd_exact
102,ksqexp,1,3,1.5,0.1,-19.502455268993764
103,ksqexp,1,3,1.5,0.05,-17.894837280241827
104,ksqexp,1,3,1.5,0.01,-17.330752194811552
105,ksqexp,1,3,1.5,0,-17.30664601323295
106,ksqexp,1,3.5,0.5,0.5,-29.716484921831473
107,ksqexp,1,3.5,0.5,0.1,0.8365626143908182
108,ksqexp,1,3.5,0.5,0.05,4.246543051790065
109,ksqexp,1,3.5,0.5,0.01,5.544911470035359
110,ksqexp,1,3.5,0.5,0,5.601749775286398
111,ksqexp,1,3.5,1,0.5,-36.21687127883629
112,ksqexp,1,3.5,1,0.1,-12.293470126811682
113,ksqexp,1,3.5,1,0.05,-10.238572822831015
114,ksqexp,1,3.5,1,0.01,-9.504647794508871
115,ksqexp,1,3.5,1,0,-9.473121390028252
116,ksqexp,1,3.5,1.5,0.5,-40.77331151787722
117,ksqexp,1,3.5,1.5,0.1,-20.68729184697222
118,ksqexp,1,3.5,1.5,0.05,-19.21571778383403
119,ksqexp,1,3.5,1.5,0.01,-18.70577480740363
120,ksqexp,1,3.5,1.5,0,-18.68406359523578
121,ksqexp,1,4,0.5,0.5,-29.93215664578268
122,ksqexp,1,4,0.5,0.1,0.3384623690360369
123,ksqexp,1,4,0.5,0.05,3.6701493458252603
124,ksqexp,1,4,0.5,0.01,4.933447328068457
125,ksqexp,1,4,0.5,0,4.988708480829086
126,ksqexp,1,4,1,0.5,-36.48958749871332
127,ksqexp,1,4,1,0.1,-12.955414802711507
128,ksqexp,1,4,1,0.05,-10.993209593047904
129,ksqexp,1,4,1,0.01,-10.298156702422892
130,ksqexp,1,4,1,0,-10.268376252026185
131,ksqexp,1,4,1.5,0.5,-41.08666146843792
132,ksqexp,1,4,1.5,0.1,-21.430335435629054
133,ksqexp,1,4,1.5,0.05,-20.039001948218075
134,ksqexp,1,4,1.5,0.01,-19.560389518598363
135,ksqexp,1,4,1.5,0,-19.54005631308485
136,ksqexp,1,6,0.5,0.5,-30.239143950558194
137,ksqexp,1,6,0.5,0.1,-0.30578618422616366
138,ksqexp,1,6,0.5,0.05,2.9399494972013867
139,ksqexp,1,6,0.5,0.01,4.164908226261473
140,ksqexp,1,6,0.5,0,4.218426417018563
141,ksqexp,1,6,1,0.5,-36.84139286956601
142,ksqexp,1,6,1,0.1,-13.768080076743272
143,ksqexp,1,6,1,0.05,-11.908779122772101
144,ksqexp,1,6,1,0.01,-11.256057345773185
145,ksqexp,1,6,1,0,-11.228167445815966
146,ksqexp,1,6,1.5,0.5,-41.479124094530924
147,ksqexp,1,6,1.5,0.1,-22.329239589101178
148,ksqexp,1,6,1.5,0.05,-21.026474478403617
149,ksqexp,1,6,1.5,0.01,-20.581862440269003
150,ksqexp,1,6,1.5,0,-20.563017216872264
151,ksqexp,1,8,0.5,0.5,-30.276947961609828
152,ksqexp,1,8,0.5,0.1,-0.3534029010088696
153,ksqexp,1,8,0.5,0.05,2.897445436137702
154,ksqexp,1,8,0.5,0.01,4.125915253103005
155,ksqexp,1,8,0.5,0,4.179613311866212
156,ksqexp,1,8,1,0.5,-36.871175681328005
157,ksqexp,1,8,1,0.1,-13.815233382988541
158,ksqexp,1,8,1,0.05,-11.957809697938927
159,ksqexp,1,8,1,0.01,-11.30574063831074
160,ksqexp,1,8,1,0,-11.277878473406842
161,ksqexp,1,8,1.5,0.5,-41.50741688324466
162,ksqexp,1,8,1.5,0.1,-22.37870686825727
163,ksqexp,1,8,1.5,0.05,-21.078739881818812
164,ksqexp,1,8,1.5,0.01,-20.63516134794543
165,ksqexp,1,8,1.5,0,-20.616360885276503
166,ksqexp,1,10,0.5,0.5,-30.280884151589916
167,ksqexp,1,10,0.5,0.1,-0.35619519179815073
168,ksqexp,1,10,0.5,0.05,2.8962882335083413
169,ksqexp,1,10,0.5,0.01,4.125711831646866
170,ksqexp,1,10,0.5,0,4.179457032326789
171,ksqexp,1,10,1,0.5,-36.873375713201206
172,ksqexp,1,10,1,0.1,-13.816582520238235
173,ksqexp,1,10,1,0.05,-11.958637053857824
174,ksqexp,1,10,1,0.01,-11.306335073713942
175,ksqexp,1,10,1,0,-11.278462294134341
176,ksqexp,1,10,1.5,0.5,-41.50902660237382
177,ksqexp,1,10,1.5,0.1,-22.379765011163872
178,ksqexp,1,10,1.5,0.05,-21.07956478832241
179,ksqexp,1,10,1.5,0.01,-20.6358918660445
180,ksqexp,1,10,1.5,0,-20.61708721973342
181,ksqexp,1,25,0.5,0.5,-30.281175351294817
182,ksqexp,1,25,0.5,0.1,-0.3563733580281774
183,ksqexp,1,25,0.5,0.05,2.8962455693427787
184,ksqexp,1,25,0.5,0.01,4.125747515139826
185,ksqexp,1,25,0.5,0,4.17949658013196
186,ksqexp,1,25,1,0.5,-36.87352663723978
187,ksqexp,1,25,1,0.1,-13.816635553606126
188,ksqexp,1,25,1,0.05,-11.958642043325051
189,ksqexp,1,25,1,0.01,-11.306318866558364
190,ksqexp,1,25,1,0,-11.278445123705234
191,ksqexp,1,25,1.5,0.5,-41.509128132355386
192,ksqexp,1,25,1.5,0.1,-22.37978951868828
193,ksqexp,1,25,1.5,0.05,-21.07956514279232
194,ksqexp,1,25,1.5,0.01,-20.635882580592607
195,ksqexp,1,25,1.5,0,-20.61707750842968
196,ksqexp,1,50,0.5,0.5,-30.281175351294817
197,ksqexp,1,50,0.5,0.1,-0.3563733580281774
198,ksqexp,1,50,0.5,0.05,2.8962455693427787
199,ksqexp,1,50,0.5,0.01,4.125747515139826
200,ksqexp,1,50,0.5,0,4.17949658013196
201,ksqexp,1,50,1,0.5,-36.87352663723978
202,ksqexp,1,50,1,0.1,-13.816635553606126
203,ksqexp,1,50,1,0.05,-11.958642043325051
204,ksqexp,1,50,1,0.01,-11.306318866558364
205,ksqexp,1,50,1,0,-11.278445123705234
206,ksqexp,1,50,1.5,0.5,-41.509128132355386
207,ksqexp,1,50,1.5,0.1,-22.37978951868828
208,ksqexp,1,50,1.5,0.05,-21.07956514279232
209,ksqexp,1,50,1.5,0.01,-20.635882580592607
210,ksqexp,1,50,1.5,0,-20.61707750842968
211,ksqexp,1,75,0.5,0.5,-30.281175351294817
212,ksqexp,1,75,0.5,0.1,-0.3563733580281774
213,ksqexp,1,75,0.5,0.05,2.8962455693427787
214,ksqexp,1,75,0.5,0.01,4.125747515139826
215,ksqexp,1,75,0.5,0,4.17949658013196
216,ksqexp,1,75,1,0.5,-36.87352663723978
217,ksqexp,1,75,1,0.1,-13.816635553606126
