model_no,k_name,l1,l2,b,meas_error,lppd_exact
96,ksqexp,1,100,1,0.01,-56.711787077816965
97,ksqexp,1,100,1.5,0.1,-57.2003317403095
98,ksqexp,1,100,1.5,0.05,-57.265688885095315
99,ksqexp,1,100,1.5,0.01,-57.28764514373881
100,ksqexp,1.5,1.5,0.5,0.1,-663.0189038684131
101,ksqexp,1.5,1.5,0.5,0.05,-2710.856271940748
102,ksqexp,1.5,1.5,0.5,0.01,-66110.25918545881
103,ksqexp,1.5,1.5,1,0.1,-667.0199139384063
104,ksqexp,1.5,1.5,1,0.05,-2676.751123637605
105,ksqexp,1.5,1.5,1,0.01,-66613.21727118753
106,ksqexp,1.5,1.5,1.5,0.1,-667.7524775237209
107,ksqexp,1.5,1.5,1.5,0.05,-2652.502991738654
108,ksqexp,1.5,1.5,1.5,0.01,-66795.5510558363
109,ksqexp,1.5,2,0.5,0.1,-632.1767887057583
110,ksqexp,1.5,2,0.5,0.05,-2522.42159416978
111,ksqexp,1.5,2,0.5,0.01,-58875.160978032785
112,ksqexp,1.5,2,1,0.1,-628.9490516361044
113,ksqexp,1.5,2,1,0.05,-2513.691590733586
114,ksqexp,1.5,2,1,0.01,-55533.588948549535
115,ksqexp,1.5,2,1.5,0.1,-628.909295737404
116,ksqexp,1.5,2,1.5,0.05,-2507.8326563710307
117,ksqexp,1.5,2,1.5,0.01,-52792.17770480575
118,ksqexp,1.5,3,0.5,0.1,-608.2683488643645
119,ksqexp,1.5,3,0.5,0.05,-2350.4076212213117
120,ksqexp,1.5,3,0.5,0.01,-41465.90876498281
121,ksqexp,1.5,3,1,0.1,-604.9448983513282
122,ksqexp,1.5,3,1,0.05,-2267.3554368800096
123,ksqexp,1.5,3,1,0.01,-32971.968586688454
124,ksqexp,1.5,3,1.5,0.1,-600.9489423399132
125,ksqexp,1.5,3,1.5,0.05,-2208.001118952918
126,ksqexp,1.5,3,1.5,0.01,-27316.91966218263
127,ksqexp,1.5,3.5,0.5,0.1,-597.827906391373
128,ksqexp,1.5,3.5,0.5,0.05,-2249.2153695260454
129,ksqexp,1.5,3.5,0.5,0.01,-34001.35617074672
130,ksqexp,1.5,3.5,1,0.1,-588.9842976763381
131,ksqexp,1.5,3.5,1,0.05,-2147.143708803893
132,ksqexp,1.5,3.5,1,0.01,-24657.645855355004
133,ksqexp,1.5,3.5,1.5,0.1,-581.4442084602042
134,ksqexp,1.5,3.5,1.5,0.05,-2077.389270558549
135,ksqexp,1.5,3.5,1.5,0.01,-19327.793101451167
136,ksqexp,1.5,4,0.5,0.1,-586.2412011803118
137,ksqexp,1.5,4,0.5,0.05,-2164.651400383206
138,ksqexp,1.5,4,0.5,0.01,-27643.41944173646
139,ksqexp,1.5,4,1,0.1,-573.4211585195624
140,ksqexp,1.5,4,1,0.05,-2050.649915878574
141,ksqexp,1.5,4,1,0.01,-18566.589107914366
142,ksqexp,1.5,4,1.5,0.1,-564.1877609589576
143,ksqexp,1.5,4,1.5,0.05,-1968.1550908414765
144,ksqexp,1.5,4,1.5,0.01,-13976.749301858868
145,ksqexp,1.5,4.5,0.5,0.1,-575.308999113896
146,ksqexp,1.5,4.5,0.5,0.05,-2097.951912240523
147,ksqexp,1.5,4.5,0.5,0.01,-22642.174487104465
148,ksqexp,1.5,4.5,1,0.1,-560.4911001316975
149,ksqexp,1.5,4.5,1,0.05,-1969.3317689311637
150,ksqexp,1.5,4.5,1,0.01,-14343.257058099443
151,ksqexp,1.5,4.5,1.5,0.1,-550.5489876634906
152,ksqexp,1.5,4.5,1.5,0.05,-1870.3300139278745
153,ksqexp,1.5,4.5,1.5,0.01,-10499.71920088078
154,ksqexp,1.5,5,0.5,0.1,-565.8719324253393
155,ksqexp,1.5,5,0.5,0.05,-2043.6424533259926
156,ksqexp,1.5,5,0.5,0.01,-18873.158447752634
157,ksqexp,1.5,5,1,0.1,-550.2442850977449
158,ksqexp,1.5,5,1,0.05,-1896.9892026276145
159,ksqexp,1.5,5,1,0.01,-11453.925056153164
160,ksqexp,1.5,5,1.5,0.1,-539.739835225361
161,ksqexp,1.5,5,1.5,0.05,-1780.3614258687328
162,ksqexp,1.5,5,1.5,0.01,-8226.529346268027
163,ksqexp,1.5,6,0.5,0.1,-551.4244383960823
164,ksqexp,1.5,6,0.5,0.05,-1954.9678768951255
165,ksqexp,1.5,6,0.5,0.01,-13901.970542561088
166,ksqexp,1.5,6,1,0.1,-535.0391218252646
167,ksqexp,1.5,6,1,0.05,-1768.871946598873
168,ksqexp,1.5,6,1,0.01,-7989.810814359163
169,ksqexp,1.5,6,1.5,0.1,-522.81198750215
170,ksqexp,1.5,6,1.5,0.05,-1620.551130510783
171,ksqexp,1.5,6,1.5,0.01,-5611.521700857706
172,ksqexp,1.5,10,0.5,0.1,-516.9630830591748
173,ksqexp,1.5,10,0.5,0.05,-1640.7306035627582
174,ksqexp,1.5,10,0.5,0.01,-5911.580121265607
175,ksqexp,1.5,10,1,0.1,-487.67847329151226
176,ksqexp,1.5,10,1,0.05,-1326.0022446101882
177,ksqexp,1.5,10,1,0.01,-3138.862970108351
178,ksqexp,1.5,10,1.5,0.1,-462.1132066991028
179,ksqexp,1.5,10,1.5,0.05,-1116.1260647371064
180,ksqexp,1.5,10,1.5,0.01,-2145.0520393070296
181,ksqexp,1.5,50,0.5,0.1,-203.00035085802128
182,ksqexp,1.5,50,0.5,0.05,-261.91989350892555
183,ksqexp,1.5,50,0.5,0.01,-290.22620197422367
184,ksqexp,1.5,50,1,0.1,-139.8508277206493
185,ksqexp,1.5,50,1,0.05,-158.25079849022055
186,ksqexp,1.5,50,1,0.01,-165.63389325230136
187,ksqexp,1.5,50,1.5,0.1,-115.36962073227598
188,ksqexp,1.5,50,1.5,0.05,-124.1508180027746
189,ksqexp,1.5,50,1.5,0.01,-127.44182458676745
190,ksqexp,1.5,100,0.5,0.1,-90.49843754666018
191,ksqexp,1.5,100,0.5,0.05,-96.12708171131868
192,ksqexp,1.5,100,0.5,0.01,-98.17870321398884
193,ksqexp,1.5,100,1,0.1,-69.98726342660822
194,ksqexp,1.5,100,1,0.05,-71.36316029683378
195,ksqexp,1.5,100,1,0.01,-71.83621223568747
196,ksqexp,1.5,100,1.5,0.1,-65.78039088791388
197,ksqexp,1.5,100,1.5,0.05,-66.34321860725055
198,ksqexp,1.5,100,1.5,0.01,-66.53297028653932
199,ksqexp,2,1.5,0.5,0.1,-662.557814567442
200,ksqexp,2,1.5,0.5,0.05,-2754.7594563564376
201,ksqexp,2,1.5,0.5,0.01,-71689.7691069375
202,ksqexp,2,1.5,1,0.1,-664.2871846541536
203,ksqexp,2,1.5,1,0.05,-2784.621262570773
204,ksqexp,2,1.5,1,0.01,-70680.165119596
205,ksqexp,2,1.5,1.5,0.1,-668.1249474313718
206,ksqexp,2,1.5,1.5,0.05,-2802.9042065369963
207,ksqexp,2,1.5,1.5,0.01,-70168.24190938675
208,ksqexp,2,2,0.5,0.1,-663.3242949053631
209,ksqexp,2,2,0.5,0.05,-2702.2196729365146
210,ksqexp,2,2,0.5,0.01,-65938.88794145893
211,ksqexp,2,2,1,0.1,-666.2061998706512
212,ksqexp,2,2,1,0.05,-2664.3658641726306
213,ksqexp,2,2,1,0.01,-66499.64995143842
214,ksqexp,2,2,1.5,0.1,-666.1000506466792
215,ksqexp,2,2,1.5,0.05,-2639.5059794120825
216,ksqexp,2,2,1.5,0.01,-66715.77285491342
217,ksqexp,2,3,0.5,0.1,-619.1060263974455
218,ksqexp,2,3,0.5,0.05,-2484.6541543350136
219,ksqexp,2,3,0.5,0.01,-53930.88921698748
220,ksqexp,2,3,1,0.1,-620.1655476279801
221,ksqexp,2,3,1,0.05,-2468.690608192014
222,ksqexp,2,3,1,0.01,-48891.70912501307
223,ksqexp,2,3,1.5,0.1,-622.0426480103943
224,ksqexp,2,3,1.5,0.05,-2449.8109785922447
225,ksqexp,2,3,1.5,0.01,-44826.51491646181
226,ksqexp,2,3.5,0.5,0.1,-611.8644436308361
227,ksqexp,2,3.5,0.5,0.05,-2427.2517431451392
228,ksqexp,2,3.5,0.5,0.01,-47202.655073252
229,ksqexp,2,3.5,1,0.1,-613.5273074182417
230,ksqexp,2,3.5,1,0.05,-2376.302097351547
231,ksqexp,2,3.5,1,0.01,-40113.25071520319
232,ksqexp,2,3.5,1.5,0.1,-613.6862653073533
233,ksqexp,2,3.5,1.5,0.05,-2331.7615958323563
234,ksqexp,2,3.5,1.5,0.01,-34860.57915198696
235,ksqexp,2,4,0.5,0.1,-606.099423771087
236,ksqexp,2,4,0.5,0.05,-2354.67553748734
237,ksqexp,2,4,0.5,0.01,-41046.373414774236
238,ksqexp,2,4,1,0.1,-604.5711347631737
239,ksqexp,2,4,1,0.05,-2273.577378207005
240,ksqexp,2,4,1,0.01,-32485.339178773385
241,ksqexp,2,4,1.5,0.1,-601.4036783748795
242,ksqexp,2,4,1.5,0.05,-2213.1978988526903
243,ksqexp,2,4,1.5,0.01,-26865.92381371496
244,ksqexp,2,4.5,0.5,0.1,-599.1970618037052
245,ksqexp,2,4.5,0.5,0.05,-2278.9067226821944
246,ksqexp,2,4.5,0.5,0.01,-35319.09067910025
247,ksqexp,2,4.5,1,0.1,-593.4155538135133
248,ksqexp,2,4.5,1,0.05,-2179.2497157069633
249,ksqexp,2,4.5,1,0.01,-26088.417781358865
250,ksqexp,2,4.5,1.5,0.1,-587.2307593891658
251,ksqexp,2,4.5,1.5,0.05,-2109.254567677902
252,ksqexp,2,4.5,1.5,0.01,-20685.461418195595
253,ksqexp,2,5,0.5,0.1,-591.296040451072
254,ksqexp,2,5,0.5,0.05,-2209.4618609617555
255,ksqexp,2,5,0.5,0.01,-30201.568045431573
256,ksqexp,2,5,1,0.1,-581.6988914394365
257,ksqexp,2,5,1,0.05,-2097.9383823658404
258,ksqexp,2,5,1,0.01,-20980.612972890343
259,ksqexp,2,5,1.5,0.1,-573.4637365467318
260,ksqexp,2,5,1.5,0.05,-2018.672401077062
261,ksqexp,2,5,1.5,0.01,-16082.668933274603
262,ksqexp,2,6,0.5,0.1,-575.3074907207982
263,ksqexp,2,6,0.5,0.05,-2098.9656070271612
264,ksqexp,2,6,0.5,0.01,-22261.97166600283
265,ksqexp,2,6,1,0.1,-561.1710500358593
266,ksqexp,2,6,1,0.05,-1964.5867438367711
267,ksqexp,2,6,1,0.01,-14092.776545974113
268,ksqexp,2,6,1.5,0.1,-550.9979075125428
269,ksqexp,2,6,1.5,0.05,-1861.5068949932122
270,ksqexp,2,6,1.5,0.01,-10318.988659218187
