model_no,k_name,l1,l2,b,meas_error,lppd_exact
80,ksqexp,1,2.5,0.5,0,-39252.15005708002
81,ksqexp,1,2.5,1,0.5,-34.54499161563897
82,ksqexp,1,2.5,1,0.1,-135.10707538617234
83,ksqexp,1,2.5,1,0.05,-557.1017541132472
84,ksqexp,1,2.5,1,0.01,-5531.987803582257
85,ksqexp,1,2.5,1,0,-19584.182761576252
86,ksqexp,1,2.5,1.5,0.5,-37.61501297703991
87,ksqexp,1,2.5,1.5,0.1,-139.2297767605745
88,ksqexp,1,2.5,1.5,0.05,-544.1661339240616
89,ksqexp,1,2.5,1.5,0.01,-4182.702640097786
90,ksqexp,1,2.5,1.5,0,-13032.378811924766
91,ksqexp,1,3,0.5,0.5,-29.850999327438092
92,ksqexp,1,3,0.5,0.1,-126.04612725354082
93,ksqexp,1,3,0.5,0.05,-557.2657018163817
94,ksqexp,1,3,0.5,0.01,-6785.2846382970665
95,ksqexp,1,3,0.5,0,-27227.231011924527
96,ksqexp,1,3,1,0.5,-34.544205354592776
97,ksqexp,1,3,1,0.1,-133.99534405410827
98,ksqexp,1,3,1,0.05,-540.6896174705458
99,ksqexp,1,3,1,0.01,-4301.545423272063
100,ksqexp,1,3,1,0,-13573.909991335655
101,ksqexp,1,3,1.5,0.5,-37.61381681736216
102,ksqexp,1,3,1.5,0.1,-137.58516915968593
103,ksqexp,1,3,1.5,0.05,-521.1789429980632
104,ksqexp,1,3,1.5,0.01,-3206.620592930987
105,ksqexp,1,3,1.5,0,-9026.98856626899
106,ksqexp,1,3.5,0.5,0.5,-29.85054248016099
107,ksqexp,1,3.5,0.5,0.1,-125.39027817441999
108,ksqexp,1,3.5,0.5,0.05,-547.177028990445
109,ksqexp,1,3.5,0.5,0.01,-5596.691044348459
110,ksqexp,1,3.5,0.5,0,-19977.642833145917
111,ksqexp,1,3.5,1,0.5,-34.54327365160754
112,ksqexp,1,3.5,1,0.1,-132.70060902544049
113,ksqexp,1,3.5,1,0.05,-522.3358809754999
114,ksqexp,1,3.5,1,0.01,-3438.6654542546507
115,ksqexp,1,3.5,1,0,-9950.965136413744
116,ksqexp,1,3.5,1.5,0.5,-37.61240210344178
117,ksqexp,1,3.5,1.5,0.1,-135.68352241383593
118,ksqexp,1,3.5,1.5,0.05,-496.106267137778
119,ksqexp,1,3.5,1.5,0.01,-2558.062960811883
120,ksqexp,1,3.5,1.5,0,-6612.925004998424
121,ksqexp,1,4,0.5,0.5,-29.850015615472817
122,ksqexp,1,4,0.5,0.1,-124.64005675621623
123,ksqexp,1,4,0.5,0.05,-535.913743539826
124,ksqexp,1,4,0.5,0.01,-4666.222325431452
125,ksqexp,1,4,0.5,0,-15273.1843978803
126,ksqexp,1,4,1,0.5,-34.54219982064057
127,ksqexp,1,4,1,0.1,-131.23197550309743
128,ksqexp,1,4,1,0.05,-502.45166829537897
129,ksqexp,1,4,1,0.01,-2825.4368421265226
130,ksqexp,1,4,1,0,-7600.337912824874
131,ksqexp,1,4,1.5,0.5,-37.61077255694058
132,ksqexp,1,4,1.5,0.1,-133.54411879934983
133,ksqexp,1,4,1.5,0.05,-469.68082728341034
134,ksqexp,1,4,1.5,0.01,-2109.215904977317
135,ksqexp,1,4,1.5,0,-5046.908275363506
136,ksqexp,1,6,0.5,0.5,-29.84721112965637
137,ksqexp,1,6,0.5,0.1,-120.75347260732663
138,ksqexp,1,6,0.5,0.05,-481.94231460927205
139,ksqexp,1,6,0.5,0.01,-2583.0724104647943
140,ksqexp,1,6,0.5,0,-6739.376904428218
141,ksqexp,1,6,1,0.5,-34.536495125162446
142,ksqexp,1,6,1,0.1,-123.83059547947089
143,ksqexp,1,6,1,0.05,-415.37683248620664
144,ksqexp,1,6,1,0.01,-1578.7260909633696
145,ksqexp,1,6,1,0,-3338.2985570576825
146,ksqexp,1,6,1.5,0.5,-37.6021329081809
147,ksqexp,1,6,1.5,0.1,-123.04305885984265
148,ksqexp,1,6,1.5,0.05,-362.54935418417216
149,ksqexp,1,6,1.5,0.01,-1192.0329933465016
150,ksqexp,1,6,1.5,0,-2208.7917345413034
151,ksqexp,1,8,0.5,0.5,-29.843300252125736
152,ksqexp,1,8,0.5,0.1,-115.61842850774067
153,ksqexp,1,8,0.5,0.05,-420.42843657446844
154,ksqexp,1,8,0.5,0.01,-1706.5613836779291
155,ksqexp,1,8,0.5,0,-3756.040653796113
156,ksqexp,1,8,1,0.5,-34.528571587308576
157,ksqexp,1,8,1,0.1,-114.56149816524689
158,ksqexp,1,8,1,0.05,-330.69312375626987
159,ksqexp,1,8,1,0.01,-1051.63791698591
160,ksqexp,1,8,1,0,-1850.0812340168554
161,ksqexp,1,8,1.5,0.5,-37.59018126718836
162,ksqexp,1,8,1.5,0.1,-110.53337769190577
163,ksqexp,1,8,1.5,0.05,-270.8003933893371
164,ksqexp,1,8,1.5,0.01,-784.4200401314666
165,ksqexp,1,8,1.5,0,-1218.9474045933857
166,ksqexp,1,10,0.5,0.5,-29.838298259147248
167,ksqexp,1,10,0.5,0.1,-109.49520527092899
168,ksqexp,1,10,0.5,0.05,-358.9077378573472
169,ksqexp,1,10,0.5,0.01,-1245.0062227018757
170,ksqexp,1,10,0.5,0,-2377.339729887118
171,ksqexp,1,10,1,0.5,-34.518491265148256
172,ksqexp,1,10,1,0.1,-104.21909581429182
173,ksqexp,1,10,1,0.05,-259.0183902782642
174,ksqexp,1,10,1,0.01,-755.5913144773855
175,ksqexp,1,10,1,0,-1163.4067564581567
176,ksqexp,1,10,1.5,0.5,-37.575058231830276
177,ksqexp,1,10,1.5,0.1,-97.38134929972118
178,ksqexp,1,10,1.5,0.05,-201.88746574436
179,ksqexp,1,10,1.5,0.01,-551.7425954605055
180,ksqexp,1,10,1.5,0,-762.9484138608508
181,ksqexp,1,25,0.5,0.5,-29.76860189457389
182,ksqexp,1,25,0.5,0.1,-56.81679313917101
183,ksqexp,1,25,0.5,0.05,-99.05231599968512
184,ksqexp,1,25,0.5,0.01,-274.85827116608317
185,ksqexp,1,25,0.5,0,-332.43004600033146
186,ksqexp,1,25,1,0.5,-34.3843480441781
187,ksqexp,1,25,1,0.1,-40.15936021149086
188,ksqexp,1,25,1,0.05,-56.94511844281853
189,ksqexp,1,25,1,0.01,-137.21030763896044
190,ksqexp,1,25,1,0,-151.92222048740328
191,ksqexp,1,25,1.5,0.5,-37.382928644468116
192,ksqexp,1,25,1.5,0.1,-32.86965252420789
193,ksqexp,1,25,1.5,0.05,-43.42665199034055
194,ksqexp,1,25,1.5,0.01,-89.75850104756235
195,ksqexp,1,25,1.5,0,-95.93893038239878
196,ksqexp,1,50,0.5,0.5,-29.563175060611865
197,ksqexp,1,50,0.5,0.1,-13.251036281219282
198,ksqexp,1,50,0.5,0.05,-20.520335652460574
199,ksqexp,1,50,0.5,0.01,-50.36761013384627
200,ksqexp,1,50,0.5,0,-53.629923948098565
201,ksqexp,1,50,1,0.5,-34.05970193462691
202,ksqexp,1,50,1,0.1,-10.854702912297995
203,ksqexp,1,50,1,0.05,-13.037315799146837
204,ksqexp,1,50,1,0.01,-20.271089894092757
205,ksqexp,1,50,1,0,-20.750300445362804
206,ksqexp,1,50,1.5,0.5,-37.00556669360397
207,ksqexp,1,50,1.5,0.1,-12.443792003109296
208,ksqexp,1,50,1.5,0.05,-12.287763130088042
209,ksqexp,1,50,1.5,0.01,-13.922410903584574
210,ksqexp,1,50,1.5,0,-13.976411089200127
