model_no,k_name,l1,l2,b,meas_error,lppd_exact
95,ksqexp,2,2,1,NA,-83451.6472695105
96,ksqexp,2,2,1.5,NA,-55538.85615695276
97,ksqexp,2,3,0.5,NA,-63652.992525800066
98,ksqexp,2,3,1,NA,-31683.775769059168
99,ksqexp,2,3,1.5,NA,-21036.408956459156
100,ksqexp,2,4,0.5,NA,-47292.01038896245
101,ksqexp,2,4,1,NA,-23509.493882486528
102,ksqexp,2,4,1.5,NA,-15591.043292108361
103,ksqexp,2,5,0.5,NA,-42872.360434079375
104,ksqexp,2,5,1,NA,-21302.938795795617
105,ksqexp,2,5,1.5,NA,-14122.189018831134
106,kexp,1,0.25,0.5,NA,-95.69279721662853
107,kexp,1,0.25,1,NA,-86.29007929655283
108,kexp,1,0.25,1.5,NA,-92.22547448171474
109,kexp,1,0.5,0.5,NA,-71.25270595045043
110,kexp,1,0.5,1,NA,-83.8893143855535
111,kexp,1,0.5,1.5,NA,-97.17115168915653
112,kexp,1,1,0.5,NA,-65.3106463976294
113,kexp,1,1,1,NA,-87.39675891025274
114,kexp,1,1,1.5,NA,-103.82843090637441
115,kexp,1,2,0.5,NA,-65.50754295345475
116,kexp,1,2,1,NA,-90.98827792658854
117,kexp,1,2,1.5,NA,-108.55149074288303
118,kexp,1,3,0.5,NA,-66.22956974496373
119,kexp,1,3,1,NA,-92.32363739839626
120,kexp,1,3,1.5,NA,-110.09129444145724
121,kexp,1,4,0.5,NA,-66.67876193893092
122,kexp,1,4,1,NA,-92.9107603737827
123,kexp,1,4,1.5,NA,-110.72439434398346
124,kexp,1,5,0.5,NA,-66.93248652854845
125,kexp,1,5,1,NA,-93.19490462966627
126,kexp,1,5,1.5,NA,-111.0186784886224
127,kexp,1.25,0.25,0.5,NA,-101.84877850510361
128,kexp,1.25,0.25,1,NA,-84.56219214727761
129,kexp,1.25,0.25,1.5,NA,-87.86963118649426
130,kexp,1.25,0.5,0.5,NA,-66.9898369476999
131,kexp,1.25,0.5,1,NA,-77.45311153373447
132,kexp,1.25,0.5,1.5,NA,-90.01050422097575
133,kexp,1.25,1,0.5,NA,-57.217032959298685
134,kexp,1.25,1,1,NA,-79.55166310956155
135,kexp,1.25,1,1.5,NA,-96.0661743182288
136,kexp,1.25,2,0.5,NA,-56.733267107658634
137,kexp,1.25,2,1,NA,-83.19887514866713
138,kexp,1.25,2,1.5,NA,-101.09037898758642
139,kexp,1.25,3,0.5,NA,-57.47271759739714
140,kexp,1.25,3,1,NA,-84.70912290785994
141,kexp,1.25,3,1.5,NA,-102.85755916993097
142,kexp,1.25,4,0.5,NA,-57.95789284640683
143,kexp,1.25,4,1,NA,-85.39664465030353
144,kexp,1.25,4,1.5,NA,-103.6125297435192
145,kexp,1.25,5,0.5,NA,-58.24612232599613
146,kexp,1.25,5,1,NA,-85.7432150344824
147,kexp,1.25,5,1.5,NA,-103.9785470958946
148,kexp,1.5,0.25,0.5,NA,-109.81722066117935
149,kexp,1.5,0.25,1,NA,-84.41034111705041
150,kexp,1.5,0.25,1.5,NA,-85.01101576079834
151,kexp,1.5,0.5,0.5,NA,-64.51944857356446
152,kexp,1.5,0.5,1,NA,-72.39719292575455
153,kexp,1.5,0.5,1.5,NA,-84.09274220170754
154,kexp,1.5,1,0.5,NA,-50.916088470226235
155,kexp,1.5,1,1,NA,-72.92303874324179
156,kexp,1.5,1,1.5,NA,-89.32832332615857
157,kexp,1.5,2,0.5,NA,-49.630578347985896
158,kexp,1.5,2,1,NA,-76.44389132929675
159,kexp,1.5,2,1.5,NA,-94.45129681498305
160,kexp,1.5,3,0.5,NA,-50.35110069000073
161,kexp,1.5,3,1,NA,-78.06297350777436
162,kexp,1.5,3,1.5,NA,-96.36989893894862
163,kexp,1.5,4,0.5,NA,-50.86431718827476
164,kexp,1.5,4,1,NA,-78.82636673164383
165,kexp,1.5,4,1.5,NA,-97.21668440468324
166,kexp,1.5,5,0.5,NA,-51.1782018497252
167,kexp,1.5,5,1,NA,-79.22122018278809
168,kexp,1.5,5,1.5,NA,-97.6385274523921
169,kexp,1.75,0.25,0.5,NA,-119.08924449448996
170,kexp,1.75,0.25,1,NA,-85.43301485838562
171,kexp,1.75,0.25,1.5,NA,-83.28390613810222
172,kexp,1.75,0.5,0.5,NA,-63.32691105747012
173,kexp,1.75,0.5,1,NA,-68.39796871965996
