model_no,k_name,l1,l2,b,meas_error,lppd_exact
95,ksqexp,1,2.5,0.5,0,-6067.696334730004
96,ksqexp,1,2.5,1,0.5,-80.86572048820163
97,ksqexp,1,2.5,1,0.1,-117.03517827859241
98,ksqexp,1,2.5,1,0.05,-269.03637012036535
99,ksqexp,1,2.5,1,0.01,-2140.3675077733346
100,ksqexp,1,2.5,1,0,-3035.0978027144424
101,ksqexp,1,2.5,1.5,0.5,-85.07233495686881
102,ksqexp,1,2.5,1.5,0.1,-110.87627761282391
103,ksqexp,1,2.5,1.5,0.05,-261.26418606608763
104,ksqexp,1,2.5,1.5,0.01,-1592.7162935387585
105,ksqexp,1,2.5,1.5,0,-2031.644301840127
106,ksqexp,1,3,0.5,0.5,-74.59337658812821
107,ksqexp,1,3,0.5,0.1,-125.0365424197588
108,ksqexp,1,3,0.5,0.05,-275.8549951382141
109,ksqexp,1,3,0.5,0.01,-1528.7050559641198
110,ksqexp,1,3,0.5,0,-1938.029995191025
111,ksqexp,1,3,1,0.5,-80.38334295411231
112,ksqexp,1,3,1,0.1,-108.6273622918
113,ksqexp,1,3,1,0.05,-240.98171195783775
114,ksqexp,1,3,1,0.01,-864.7159875841043
115,ksqexp,1,3,1,0,-978.398033340441
116,ksqexp,1,3,1.5,0.5,-85.2986902629441
117,ksqexp,1,3,1.5,0.1,-107.57355306026213
118,ksqexp,1,3,1.5,0.05,-225.58207729761102
119,ksqexp,1,3,1.5,0.01,-613.595750861131
120,ksqexp,1,3,1.5,0,-665.9333941848621
121,ksqexp,1,3.5,0.5,0.5,-74.07194037540927
122,ksqexp,1,3.5,0.5,0.1,-118.88160182595144
123,ksqexp,1,3.5,0.5,0.05,-248.6898827777535
124,ksqexp,1,3.5,0.5,0.01,-743.766427498268
125,ksqexp,1,3.5,0.5,0,-822.4041948675613
126,ksqexp,1,3.5,1,0.5,-80.6509086597592
127,ksqexp,1,3.5,1,0.1,-106.69256959337339
128,ksqexp,1,3.5,1,0.05,-201.120076076099
129,ksqexp,1,3.5,1,0.01,-405.8174855807889
130,ksqexp,1,3.5,1,0,-426.2892468056547
131,ksqexp,1,3.5,1.5,0.5,-86.2692961731794
132,ksqexp,1,3.5,1.5,0.1,-106.0350520757629
133,ksqexp,1,3.5,1.5,0.05,-178.73448960346371
134,ksqexp,1,3.5,1.5,0.01,-292.49578252558024
135,ksqexp,1,3.5,1.5,0,-301.66361272395443
136,ksqexp,1,4,0.5,0.5,-73.83811557284794
137,ksqexp,1,4,0.5,0.1,-114.78159572581527
138,ksqexp,1,4,0.5,0.05,-211.2581553848927
139,ksqexp,1,4,0.5,0.01,-403.0564468355342
140,ksqexp,1,4,0.5,0,-421.77652851905003
141,ksqexp,1,4,1,0.5,-81.14296229135442
142,ksqexp,1,4,1,0.1,-102.82490376551665
143,ksqexp,1,4,1,0.05,-158.42173190284572
144,ksqexp,1,4,1,0.01,-225.57393822565723
145,ksqexp,1,4,1,0,-230.26934021505647
146,ksqexp,1,4,1.5,0.5,-87.32829900723573
147,ksqexp,1,4,1.5,0.1,-101.29077341922874
148,ksqexp,1,4,1.5,0.05,-137.88946073325602
149,ksqexp,1,4,1.5,0.01,-171.78796760314145
150,ksqexp,1,4,1.5,0,-173.84629279469507
151,ksqexp,1,6,0.5,0.5,-73.77146279732112
152,ksqexp,1,6,0.5,0.1,-92.17663178044242
153,ksqexp,1,6,0.5,0.05,-109.75312359885258
154,ksqexp,1,6,0.5,0.01,-119.0021897790304
155,ksqexp,1,6,0.5,0,-119.4511955626296
156,ksqexp,1,6,1,0.5,-82.88313065959163
157,ksqexp,1,6,1,0.1,-82.5931301764218
158,ksqexp,1,6,1,0.05,-86.82605817359104
159,ksqexp,1,6,1,0.01,-88.71241257659085
160,ksqexp,1,6,1,0,-88.7985845332952
161,ksqexp,1,6,1.5,0.5,-90.28573671543464
162,ksqexp,1,6,1.5,0.1,-84.00790631231165
163,ksqexp,1,6,1.5,0.05,-85.37703521847702
164,ksqexp,1,6,1.5,0.01,-85.96714454021006
165,ksqexp,1,6,1.5,0,-85.99372955956159
166,ksqexp,1,8,0.5,0.5,-73.88517577030883
167,ksqexp,1,8,0.5,0.1,-81.74660295282546
168,ksqexp,1,8,0.5,0.05,-90.69861922741443
169,ksqexp,1,8,0.5,0.01,-94.7618545821045
170,ksqexp,1,8,0.5,0,-94.94870087959748
171,ksqexp,1,8,1,0.5,-83.78519733333147
172,ksqexp,1,8,1,0.1,-78.25159147284536
173,ksqexp,1,8,1,0.05,-79.84058152489864
174,ksqexp,1,8,1,0.01,-80.49578337678753
175,ksqexp,1,8,1,0,-80.52494877100283
176,ksqexp,1,8,1.5,0.5,-91.7239620794685
177,ksqexp,1,8,1.5,0.1,-82.77080682864484
178,ksqexp,1,8,1.5,0.05,-83.01181194145244
179,ksqexp,1,8,1.5,0.01,-83.12458319901471
180,ksqexp,1,8,1.5,0,-83.12971343784876
181,ksqexp,1,10,0.5,0.5,-74.02972806930451
182,ksqexp,1,10,0.5,0.1,-79.57481560003382
183,ksqexp,1,10,0.5,0.05,-87.6597840791685
184,ksqexp,1,10,0.5,0.01,-91.36149638765475
185,ksqexp,1,10,0.5,0,-91.53220249906707
186,ksqexp,1,10,1,0.5,-84.36643382420488
187,ksqexp,1,10,1,0.1,-78.54124232128946
188,ksqexp,1,10,1,0.05,-80.023065319064
189,ksqexp,1,10,1,0.01,-80.63994986194105
190,ksqexp,1,10,1,0,-80.667480544853
191,ksqexp,1,10,1.5,0.5,-92.61796344688968
192,ksqexp,1,10,1.5,0.1,-84.07147002635371
193,ksqexp,1,10,1.5,0.05,-84.33256226661027
194,ksqexp,1,10,1.5,0.01,-84.45311516986797
195,ksqexp,1,10,1.5,0,-84.45858859652117
196,ksqexp,1,25,0.5,0.5,-75.52759551996402
197,ksqexp,1,25,0.5,0.1,-82.43942618523111
198,ksqexp,1,25,0.5,0.05,-90.51667791369302
199,ksqexp,1,25,0.5,0.01,-94.21725767855703
200,ksqexp,1,25,0.5,0,-94.3879790806321
