model_no,k_name,l1,l2,b,meas_error,lppd_exact
97,ksqexp,2,100,0.5,NA,-187.73338641025495
98,ksqexp,2,100,1,NA,-120.81342245988044
99,ksqexp,2,100,1.5,NA,-102.86716900738061
100,ksqexp,2.5,1.5,0.5,NA,-2961296531.0268493
101,ksqexp,2.5,1.5,1,NA,-1480857890.3311584
102,ksqexp,2.5,1.5,1.5,NA,-987285120.7651812
103,ksqexp,2.5,2,0.5,NA,-86607505.06986938
104,ksqexp,2.5,2,1,NA,-43303828.2565893
105,ksqexp,2.5,2,1.5,NA,-28869194.674860016
106,ksqexp,2.5,3,0.5,NA,-2483801.5520153972
107,ksqexp,2.5,3,1,NA,-1241853.3216065506
108,ksqexp,2.5,3,1.5,NA,-827874.8590316089
109,ksqexp,2.5,3.5,0.5,NA,-987231.6633044453
110,ksqexp,2.5,3.5,1,NA,-493581.8209028757
111,ksqexp,2.5,3.5,1.5,NA,-329036.2203131652
112,ksqexp,2.5,4,0.5,NA,-517382.55103709805
113,ksqexp,2.5,4,1,NA,-258666.1258109825
114,ksqexp,2.5,4,1.5,NA,-172431.67387570807
115,ksqexp,2.5,4.5,0.5,NA,-315954.55486953986
116,ksqexp,2.5,4.5,1,NA,-157958.36827096302
117,ksqexp,2.5,4.5,1.5,NA,-105297.3316055778
118,ksqexp,2.5,5,0.5,NA,-209968.66565739067
119,ksqexp,2.5,5,1,NA,-104970.22734683026
120,ksqexp,2.5,5,1.5,NA,-69975.1076081631
121,ksqexp,2.5,6,0.5,NA,-108105.18007675916
122,ksqexp,2.5,6,1,NA,-54045.66232592757
123,ksqexp,2.5,6,1.5,NA,-36030.183280064004
124,ksqexp,2.5,10,0.5,NA,-25066.947956876076
125,ksqexp,2.5,10,1,NA,-12539.982325091874
126,ksqexp,2.5,10,1.5,NA,-8368.687504643905
127,ksqexp,2.5,50,0.5,NA,-1004.7269047360228
128,ksqexp,2.5,50,1,NA,-524.1517838888617
129,ksqexp,2.5,50,1.5,NA,-368.3204781206674
130,ksqexp,2.5,100,0.5,NA,-275.69012872023893
131,ksqexp,2.5,100,1,NA,-162.99913683376948
132,ksqexp,2.5,100,1.5,NA,-129.79587406852983
133,ksqexp,3,1.5,0.5,NA,-38051026096.65775
134,ksqexp,3,1.5,1,NA,-19060746522.25226
135,ksqexp,3,1.5,1.5,NA,-12715005862.540272
136,ksqexp,3,2,0.5,NA,-725188624.5942668
137,ksqexp,3,2,1,NA,-362606166.49248916
138,ksqexp,3,2,1.5,NA,-241740023.2657276
139,ksqexp,3,3,0.5,NA,-10344035.152689297
140,ksqexp,3,3,1,NA,-5171950.2500356035
141,ksqexp,3,3,1.5,NA,-3447924.9206648483
142,ksqexp,3,3.5,0.5,NA,-3189922.5018842444
143,ksqexp,3,3.5,1,NA,-1594909.4935357098
144,ksqexp,3,3.5,1.5,NA,-1063242.7056867734
145,ksqexp,3,4,0.5,NA,-1382997.4368932932
146,ksqexp,3,4,1,NA,-691459.3319885381
147,ksqexp,3,4,1.5,NA,-460950.96139928955
148,ksqexp,3,4.5,0.5,NA,-749734.5600604822
149,ksqexp,3,4.5,1,NA,-374836.6056955846
150,ksqexp,3,4.5,1.5,NA,-249874.97221077135
151,ksqexp,3,5,0.5,NA,-467580.2063734874
152,ksqexp,3,5,1,NA,-233765.71942863206
153,ksqexp,3,5,1.5,NA,-155831.91382132785
154,ksqexp,3,6,0.5,NA,-226767.89752481857
155,ksqexp,3,6,1,NA,-113368.3112404375
156,ksqexp,3,6,1.5,NA,-75572.8086174456
157,ksqexp,3,10,0.5,NA,-42134.870871479
158,ksqexp,3,10,1,NA,-21068.61212870741
159,ksqexp,3,10,1.5,NA,-14050.886246958025
160,ksqexp,3,50,0.5,NA,-1545.6719940267135
161,ksqexp,3,50,1,NA,-792.1544160428739
162,ksqexp,3,50,1.5,NA,-545.3422911993013
163,ksqexp,3,100,0.5,NA,-407.4765215908139
164,ksqexp,3,100,1,NA,-226.49173663208958
165,ksqexp,3,100,1.5,NA,-170.52387617419103
166,ksqexp,3.25,1.5,0.5,NA,-124905544243.38463
167,ksqexp,3.25,1.5,1,NA,-62834542025.22565
168,ksqexp,3.25,1.5,1.5,NA,-41974840891.149345
169,ksqexp,3.25,2,0.5,NA,-2014368249.0623064
170,ksqexp,3.25,2,1,NA,-1007267319.6382815
171,ksqexp,3.25,2,1.5,NA,-671529985.7398477
172,ksqexp,3.25,3,0.5,NA,-21462071.908145107
173,ksqexp,3.25,3,1,NA,-10730966.963396154
174,ksqexp,3.25,3,1.5,NA,-7153930.313022937
175,ksqexp,3.25,3.5,0.5,NA,-5919286.296819393
176,ksqexp,3.25,3.5,1,NA,-2959582.1295405445
177,ksqexp,3.25,3.5,1.5,NA,-1973017.9166427476
178,ksqexp,3.25,4,0.5,NA,-2339464.3189058527
179,ksqexp,3.25,4,1,NA,-1169684.6390093178
180,ksqexp,3.25,4,1.5,NA,-779762.3515487764
181,ksqexp,3.25,4.5,0.5,NA,-1179555.576959975
182,ksqexp,3.25,4.5,1,NA,-589740.3633285856
183,ksqexp,3.25,4.5,1.5,NA,-393139.62878103566
184,ksqexp,3.25,5,0.5,NA,-700465.7480956451
185,ksqexp,3.25,5,1,NA,-350202.76963399106
186,ksqexp,3.25,5,1.5,NA,-233452.795118932
187,ksqexp,3.25,6,0.5,NA,-325159.28479743726
188,ksqexp,3.25,6,1,NA,-162559.35171868102
189,ksqexp,3.25,6,1.5,NA,-108363.73239505076
190,ksqexp,3.25,10,0.5,NA,-55449.17121537997
191,ksqexp,3.25,10,1,NA,-27722.72829541582
192,ksqexp,3.25,10,1.5,NA,-18484.940989965133
193,ksqexp,3.25,50,0.5,NA,-1906.1824298259635
194,ksqexp,3.25,50,1,NA,-970.9174107201527
195,ksqexp,3.25,50,1.5,NA,-663.5228054711225
196,ksqexp,3.25,100,0.5,NA,-496.0535685400344
197,ksqexp,3.25,100,1,NA,-269.3358154093363
198,ksqexp,3.25,100,1.5,NA,-198.12363222543405
199,ksqexp,3.5,1.5,0.5,NA,-384183317342.0473
200,ksqexp,3.5,1.5,1,NA,-196055741679.25327
201,ksqexp,3.5,1.5,1.5,NA,-131601929440.74347
202,ksqexp,3.5,2,0.5,NA,-5428973951.488071
203,ksqexp,3.5,2,1,NA,-2714967179.723963
204,ksqexp,3.5,2,1.5,NA,-1810084720.0618234
205,ksqexp,3.5,3,0.5,NA,-44477001.922989674
206,ksqexp,3.5,3,1,NA,-22238463.919591185
207,ksqexp,3.5,3,1.5,NA,-14825596.587789025
208,ksqexp,3.5,3.5,0.5,NA,-11093784.863457156
209,ksqexp,3.5,3.5,1,NA,-5546823.949235606
210,ksqexp,3.5,3.5,1.5,NA,-3697839.4436192303
211,ksqexp,3.5,4,0.5,NA,-4027435.460285998
212,ksqexp,3.5,4,1,NA,-2013661.7517686514
213,ksqexp,3.5,4,1.5,NA,-1342407.9318471868
214,ksqexp,3.5,4.5,0.5,NA,-1891469.9517056807
215,ksqexp,3.5,4.5,1,NA,-945690.2358187133
216,ksqexp,3.5,4.5,1.5,NA,-630434.6251636711
217,ksqexp,3.5,5,0.5,NA,-1063364.5379751835
218,ksqexp,3.5,5,1,NA,-531645.9490384777
219,ksqexp,3.5,5,1.5,NA,-354410.75787444005
220,ksqexp,3.5,6,0.5,NA,-465712.78964881547
221,ksqexp,3.5,6,1,NA,-232831.21617161107
222,ksqexp,3.5,6,1.5,NA,-155208.3808681939
223,ksqexp,3.5,10,0.5,NA,-73653.43098423218
224,ksqexp,3.5,10,1,NA,-36821.590660390364
225,ksqexp,3.5,10,1.5,NA,-24548.67082258011
226,ksqexp,3.5,50,0.5,NA,-2348.135762055724
227,ksqexp,3.5,50,1,NA,-1190.2403080643962
228,ksqexp,3.5,50,1.5,NA,-808.6355577978848
229,ksqexp,3.5,100,0.5,NA,-605.1440337736707
230,ksqexp,3.5,100,1,NA,-322.28657165353854
231,ksqexp,3.5,100,1.5,NA,-232.36115213628455
232,ksqexp,4,1.5,0.5,NA,-2446466619043.968
233,ksqexp,4,1.5,1,NA,-1441193138354.968
234,ksqexp,4,1.5,1.5,NA,-1024301814985.6417
235,ksqexp,4,2,0.5,NA,-36673919112.02811
236,ksqexp,4,2,1,NA,-18348534999.761086
237,ksqexp,4,2,1.5,NA,-12234856166.832447
238,ksqexp,4,3,0.5,NA,-185993889.20082563
239,ksqexp,4,3,1,NA,-92997596.68346281
240,ksqexp,4,3,1.5,NA,-61998493.898807004
241,ksqexp,4,3.5,0.5,NA,-39162289.632300146
242,ksqexp,4,3.5,1,NA,-19581107.210183036
243,ksqexp,4,3.5,1.5,NA,-13054025.457025087
244,ksqexp,4,4,0.5,NA,-12310982.226833528
245,ksqexp,4,4,1,NA,-6155422.456797739
246,ksqexp,4,4,1.5,NA,-4103570.4451065315
247,ksqexp,4,4.5,0.5,NA,-5104139.035360748
248,ksqexp,4,4.5,1,NA,-2552009.6014789473
249,ksqexp,4,4.5,1.5,NA,-1701303.5501314553
250,ksqexp,4,5,0.5,NA,-2579953.1697632605
251,ksqexp,4,5,1,NA,-1289926.5660058626
252,ksqexp,4,5,1.5,NA,-859921.8934929825
253,ksqexp,4,6,0.5,NA,-977970.5838307961
254,ksqexp,4,6,1,NA,-488949.44423225935
255,ksqexp,4,6,1.5,NA,-325946.7320598014
256,ksqexp,4,10,0.5,NA,-133482.43664456284
257,ksqexp,4,10,1,NA,-66728.9749507532
258,ksqexp,4,10,1.5,NA,-44482.18087272214
259,ksqexp,4,50,0.5,NA,-3591.6771160816015
260,ksqexp,4,50,1,NA,-1808.2901371046091
261,ksqexp,4,50,1.5,NA,-1218.1882115438802
262,ksqexp,4,100,0.5,NA,-913.8516228728596
263,ksqexp,4,100,1,NA,-473.07272929819027
264,ksqexp,4,100,1.5,NA,-330.50683261042695
265,kexp,1,1.5,0.5,NA,-1120.9770248494845
266,kexp,1,1.5,1,NA,-576.7127807604718
267,kexp,1,1.5,1.5,NA,-399.6517672428221
268,kexp,1,2,0.5,NA,-848.3039481624697
269,kexp,1,2,1,NA,-442.77646837313387
270,kexp,1,2,1.5,NA,-311.96104296379144
271,kexp,1,3,0.5,NA,-577.2105071202501
272,kexp,1,3,1,NA,-310.06528423427255
273,kexp,1,3,1.5,NA,-225.37727779874874
274,kexp,1,3.5,0.5,NA,-500.1362630418042
275,kexp,1,3.5,1,NA,-272.4416898011252
276,kexp,1,3.5,1.5,NA,-200.90389991531154
277,kexp,1,4,0.5,NA,-442.4691386713551
278,kexp,1,4,1,NA,-244.33149042711585
279,kexp,1,4,1.5,NA,-182.64600887428992
280,kexp,1,4.5,0.5,NA,-397.7105894044676
281,kexp,1,4.5,1,NA,-222.54157475806494
282,kexp,1,4.5,1.5,NA,-168.51230440508934
283,kexp,1,5,0.5,NA,-361.96986747812826
284,kexp,1,5,1,NA,-205.16264943778225
285,kexp,1,5,1.5,NA,-157.2539779539032
286,kexp,1,6,0.5,NA,-308.4828565247272
287,kexp,1,6,1,NA,-179.19733820470842
288,kexp,1,6,1.5,NA,-140.46256662814508
289,kexp,1,10,0.5,NA,-202.08351097629085
290,kexp,1,10,1,NA,-127.77951302724847
291,kexp,1,10,1.5,NA,-107.37191490846766
292,kexp,1,50,0.5,NA,-78.33790402220238
293,kexp,1,50,1,NA,-69.41212399806798
294,kexp,1,50,1.5,NA,-70.79726518803297
295,kexp,1,100,0.5,NA,-64.85177449633339
296,kexp,1,100,1,NA,-63.557566726566534
297,kexp,1,100,1.5,NA,-67.48656533467029
298,kexp,1.5,1.5,0.5,NA,-1668.8551049994346
299,kexp,1.5,1.5,1,NA,-846.7588857881642
300,kexp,1.5,1.5,1.5,NA,-577.0872138723926
301,kexp,1.5,2,0.5,NA,-1257.061992697256
302,kexp,1.5,2,1,NA,-643.6729815632981
303,kexp,1.5,2,1.5,NA,-443.5703790255439
304,kexp,1.5,3,0.5,NA,-847.3685327297163
305,kexp,1.5,3,1,NA,-442.2917823797171
306,kexp,1.5,3,1.5,NA,-311.6266001168098
307,kexp,1.5,3.5,0.5,NA,-730.8822934932972
308,kexp,1.5,3.5,1,NA,-385.1996134628145
309,kexp,1.5,3.5,1.5,NA,-274.3324546426373
310,kexp,1.5,4,0.5,NA,-643.7295246405716
311,kexp,1.5,4,1,NA,-342.54478469293065
312,kexp,1.5,4,1.5,NA,-246.51027256890558
313,kexp,1.5,4.5,0.5,NA,-576.0857727480112
314,kexp,1.5,4.5,1,NA,-309.4785911491459
315,kexp,1.5,4.5,1.5,NA,-224.96993180932287
316,kexp,1.5,5,0.5,NA,-522.0710064102113
317,kexp,1.5,5,1,NA,-283.1031078683519
