pruid,prename,prfname,week_end,sex,age,numtotal_atleast1dose,numtotal_partially,numtotal_fully,numtotal_additional,numtotal_2nd_additional,numtotal_recommended_vax,numtotal_vax_interest,proptotal_atleast1dose,proptotal_partially,proptotal_fully,proptotal_additional,proptotal_2nd_additional,proptotal_recommended_vax,proptotal_vax_interest
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,0–15,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,16–69,247,247,0,,,,,0.1,0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,70–79,6,6,0,,,,,<0.1,<0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,80+,0,0,0,,,,,0,0,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,All ages,253,253,0,,,,,0.1,0.1,0,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,16–69,1,1,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,All ages,1,1,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,Unknown,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,80+,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,All ages,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,Not reported,0,0,0,,,,,na,na,na,na,na,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,Unknown,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,All sexes,0–15,0,0,0,,,,,0,0,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,All sexes,16–69,1080,1080,0,,,,,0.2,0.2,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,All sexes,70–79,12,12,0,,,,,<0.1,<0.1,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,All sexes,80+,0,0,0,,,,,0,0,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,All sexes,All ages,1092,1092,0,,,,,0.1,0.1,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,All sexes,Not reported,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,All sexes,Unknown,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,0–15,0,0,0,,,,,0,0,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,16–69,705,705,0,,,,,0.2,0.2,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,70–79,7,7,0,,,,,<0.1,<0.1,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,80+,0,0,0,,,,,0,0,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,All ages,712,712,0,,,,,0.1,0.1,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,Not reported,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,0–15,0,0,0,,,,,0,0,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,16–69,375,375,0,,,,,0.1,0.1,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,70–79,5,5,0,,,,,<0.1,<0.1,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,80+,0,0,0,,,,,0,0,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,All ages,380,380,0,,,,,0.1,0.1,0,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,16–69,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,All ages,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,Unknown,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,80+,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,All ages,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,Not reported,0,0,0,,,,,na,na,na,na,na,,
12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,Unknown,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,All sexes,0–15,0,0,0,,,,,0,0,0,,,,
24,Quebec,Québec,2020-12-19,All sexes,16–69,4285,4285,0,,,,,0.1,0.1,0,,,,
24,Quebec,Québec,2020-12-19,All sexes,70–79,109,109,0,,,,,<0.1,<0.1,0,,,,
24,Quebec,Québec,2020-12-19,All sexes,80+,334,334,0,,,,,0.1,0.1,0,,,,
24,Quebec,Québec,2020-12-19,All sexes,All ages,4728,4728,0,,,,,0.1,0.1,0,,,,
24,Quebec,Québec,2020-12-19,All sexes,Not reported,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,All sexes,Unknown,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,f,0–15,0,0,0,,,,,0,0,0,,,,
24,Quebec,Québec,2020-12-19,f,16–69,3078,3078,0,,,,,0.1,0.1,0,,,,
24,Quebec,Québec,2020-12-19,f,70–79,62,62,0,,,,,<0.1,<0.1,0,,,,
24,Quebec,Québec,2020-12-19,f,80+,241,241,0,,,,,0.1,0.1,0,,,,
24,Quebec,Québec,2020-12-19,f,All ages,3381,3381,0,,,,,0.1,0.1,0,,,,
24,Quebec,Québec,2020-12-19,f,Not reported,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,f,Unknown,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,m,0–15,0,0,0,,,,,0,0,0,,,,
24,Quebec,Québec,2020-12-19,m,16–69,1200,1200,0,,,,,<0.1,<0.1,0,,,,
24,Quebec,Québec,2020-12-19,m,70–79,47,47,0,,,,,<0.1,<0.1,0,,,,
24,Quebec,Québec,2020-12-19,m,80+,93,93,0,,,,,0.1,0.1,0,,,,
24,Quebec,Québec,2020-12-19,m,All ages,1340,1340,0,,,,,<0.1,<0.1,0,,,,
24,Quebec,Québec,2020-12-19,m,Not reported,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,m,Unknown,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Unknown,0–15,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Unknown,16–69,7,7,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Unknown,70–79,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Unknown,80+,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Unknown,All ages,7,7,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Unknown,Not reported,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Unknown,Unknown,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Not reported,0–15,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Not reported,16–69,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Not reported,70–79,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Not reported,80+,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Not reported,All ages,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Not reported,Not reported,0,0,0,,,,,na,na,na,na,na,,
24,Quebec,Québec,2020-12-19,Not reported,Unknown,0,0,0,,,,,na,na,na,na,na,,
46,Manitoba,Manitoba,2020-12-19,All sexes,0–15,0,0,0,,,,,0,0,0,,,,
46,Manitoba,Manitoba,2020-12-19,All sexes,16–69,820,820,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,All sexes,70–79,74,74,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,All sexes,80+,0,0,0,,,,,0,0,0,,,,
46,Manitoba,Manitoba,2020-12-19,All sexes,All ages,894,894,0,,,,,0.1,0.1,0,,,,
46,Manitoba,Manitoba,2020-12-19,All sexes,Not reported,0,0,0,,,,,na,na,na,na,na,,
